         kTo3DCutoffRatio                   RealB0                   ImagB0
                        0         1.01596162468958                        0
     0.000833611203734578         1.01568220492673                        0
      0.00166722240746916          1.0154025541214                        0
      0.00250083361120373         1.01512267145073                        0
      0.00333444481493831         1.01484255610174                        0
      0.00416805601867289         1.01456220727296                        0
      0.00500166722240747         1.01428162417413                        0
      0.00583527842614205         1.01400080602631                        0
      0.00666888962987663         1.01371975206184                        0
       0.0075025008336112         1.01343846152429                        0
      0.00833611203734578         1.01315693366849                        0
      0.00916972324108036          1.0128751677604                        0
       0.0100033344448149         1.01259316307713                        0
       0.0108369456485495         1.01231091890698                        0
       0.0116705568522841         1.01202843454928                        0
       0.0125041680560187         1.01174570931449                        0
       0.0133377792597533          1.0114627425241                        0
       0.0141713904634878         1.01117953351062                        0
       0.0150050016672224         1.01089608161755                        0
        0.015838612870957         1.01061238619939                        0
       0.0166722240746916         1.01032844662157                        0
       0.0175058352784261         1.01004426226042                        0
       0.0183394464821607          1.0097598325032                        0
       0.0191730576858953         1.00947515674799                        0
       0.0200066688896299         1.00919023440377                        0
       0.0208402800933645          1.0089050648903                        0
        0.021673891297099         1.00861964763813                        0
       0.0225075025008336          1.0083339820886                        0
       0.0233411137045682         1.00804806769378                        0
       0.0241747249083028         1.00776190391645                        0
       0.0250083361120373         1.00747549023012                        0
       0.0258419473157719         1.00718882611893                        0
       0.0266755585195065         1.00690191107768                        0
       0.0275091697232411         1.00661474461179                        0
       0.0283427809269757         1.00632732623729                        0
       0.0291763921307102         1.00603965548077                        0
       0.0300100033344448         1.00575173187937                        0
       0.0308436145381794         1.00546355498078                        0
        0.031677225741914         1.00517512434316                        0
       0.0325108369456485         1.00488643953517                        0
       0.0333444481493831         1.00459750013593                        0
       0.0341780593531177           1.004308305735                        0
       0.0350116705568523         1.00401885593232                        0
       0.0358452817605869         1.00372915033826                        0
       0.0366788929643214         1.00343918857354                        0
        0.037512504168056         1.00314897026922                        0
       0.0383461153717906         1.00285849506668                        0
       0.0391797265755252         1.00256776261762                        0
       0.0400133377792597           1.002276772584                        0
       0.0408469489829943         1.00198552463805                        0
       0.0416805601867289         1.00169401846221                        0
       0.0425141713904635         1.00140225374917                        0
       0.0433477825941981         1.00111023020178                        0
       0.0441813937979326         1.00081794753309                        0
       0.0450150050016672         1.00052540546627                        0
       0.0458486162054018         1.00023260373464                        0
       0.0466822274091364        0.999939542081618                        0
        0.047515838612871        0.999646220260709                        0
       0.0483494498166055        0.999352638035487                        0
       0.0491830610203401        0.999058795179569                        0
       0.0500166722240747        0.998764691476602                        0
       0.0508502834278093        0.998470326720234                        0
       0.0516838946315438        0.998175700714093                        0
       0.0525175058352784        0.997880813271781                        0
        0.053351117039013         0.99758566421684                        0
       0.0541847282427476        0.997290253382736                        0
       0.0550183394464822        0.996994580612842                        0
       0.0558519506502167        0.996698645760414                        0
       0.0566855618539513        0.996402448688577                        0
       0.0575191730576859        0.996105989270302                        0
       0.0583527842614205         0.99580926738839                        0
        0.059186395465155        0.995512282935442                        0
       0.0600200066688896         0.99521503581386                        0
       0.0608536178726242        0.994917525935812                        0
       0.0616872290763588        0.994619753223213                        0
       0.0625208402800934        0.994321717607721                        0
       0.0633544514838279        0.994023419030699                        0
       0.0641880626875625         0.99372485744322                        0
       0.0650216738912971        0.993426032806021                        0
       0.0658552850950317        0.993126945089512                        0
       0.0666888962987663        0.992827594273735                        0
       0.0675225075025008        0.992527980348365                        0
       0.0683561187062354        0.992228103312679                        0
         0.06918972990997        0.991927963175547                        0
       0.0700233411137046        0.991627559955408                        0
       0.0708569523174391        0.991326893680261                        0
       0.0716905635211737        0.991025964387635                        0
       0.0725241747249083        0.990724772124584                        0
       0.0733577859286429        0.990423316947667                        0
       0.0741913971323775        0.990121598922925                        0
        0.075025008336112        0.989819618125875                        0
       0.0758586195398466        0.989517374641483                        0
       0.0766922307435812        0.989214868564153                        0
       0.0775258419473158         0.98891209999771                        0
       0.0783594531510503        0.988609069055385                        0
       0.0791930643547849          0.9883057758598                        0
       0.0800266755585195        0.988002220542942                        0
       0.0808602867622541        0.987698403246164                        0
       0.0816938979659887        0.987394324120152                        0
       0.0825275091697232        0.987089983324927                        0
       0.0833611203734578        0.986785381029811                        0
       0.0841947315771924         0.98648051741343                        0
        0.085028342780927        0.986175392663685                        0
       0.0858619539846616        0.985870006977746                        0
       0.0866955651883961        0.985564360562028                        0
       0.0875291763921307         0.98525845363219                        0
       0.0883627875958653        0.984952286413106                        0
       0.0891963987995999        0.984645859138858                        0
       0.0900300100033345        0.984339172052725                        0
        0.090863621207069         0.98403222540716                        0
       0.0916972324108036        0.983725019463784                        0
       0.0925308436145382        0.983417554493366                        0
       0.0933644548182728        0.983109830775814                        0
       0.0941980660220073        0.982801848600162                        0
       0.0950316772257419        0.982493608264552                        0
       0.0958652884294765        0.982185110076224                        0
       0.0966988996332111        0.981876354351503                        0
       0.0975325108369457        0.981567341415782                        0
       0.0983661220406802         0.98125807160352                        0
       0.0991997332444148        0.980948545258214                        0
        0.100033344448149        0.980638762732398                        0
        0.100866955651884         0.98032872438763                        0
        0.101700566855619        0.980018430594474                        0
        0.102534178059353        0.979707881732492                        0
        0.103367789263088        0.979397078190233                        0
        0.104201400466822        0.979086020365218                        0
        0.105035011670557        0.978774708663933                        0
        0.105868622874291        0.978463143501811                        0
        0.106702234078026        0.978151325303229                        0
        0.107535845281761        0.977839254501494                        0
        0.108369456485495        0.977526931538827                        0
         0.10920306768923        0.977214356866359                        0
        0.110036678892964         0.97690153094412                        0
        0.110870290096699        0.976588454241025                        0
        0.111703901300433        0.976275127234866                        0
        0.112537512504168        0.975961550412301                        0
        0.113371123707903         0.97564772426885                        0
        0.114204734911637        0.975333649308879                        0
        0.115038346115372        0.975019326045587                        0
        0.115871957319106        0.974704755001011                        0
        0.116705568522841        0.974389936706001                        0
        0.117539179726576        0.974074871700221                        0
         0.11837279093031        0.973759560532143                        0
        0.119206402134045        0.973444003759026                        0
        0.120040013337779        0.973128201946917                        0
        0.120873624541514        0.972812155670646                        0
        0.121707235745248        0.972495865513811                        0
        0.122540846948983        0.972179332068769                        0
        0.123374458152718        0.971862555936638                        0
        0.124208069356452        0.971545537727282                        0
        0.125041680560187        0.971228278059307                        0
        0.125875291763921        0.970910777560052                        0
        0.126708902967656        0.970593036865586                        0
         0.12754251417139        0.970275056620697                        0
        0.128376125375125        0.969956837478894                        0
         0.12920973657886        0.969638380102388                        0
        0.130043347782594        0.969319685162099                        0
        0.130876958986329        0.969000753337646                        0
        0.131710570190063        0.968681585317336                        0
        0.132544181393798        0.968362181798169                        0
        0.133377792597533        0.968042543485827                        0
        0.134211403801267        0.967722671094669                        0
        0.135045015005002        0.967402565347732                        0
        0.135878626208736        0.967082226976718                        0
        0.136712237412471        0.966761656722002                        0
        0.137545848616205        0.966440855332616                        0
         0.13837945981994        0.966119823566254                        0
        0.139213071023675         0.96579856218927                        0
        0.140046682227409        0.965477071976665                        0
        0.140880293431144        0.965155353712093                        0
        0.141713904634878        0.964833408187861                        0
        0.142547515838613        0.964511236204916                        0
        0.143381127042347        0.964188838572855                        0
        0.144214738246082        0.963866216109914                        0
        0.145048349449817        0.963543369642972                        0
        0.145881960653551        0.963220300007552                        0
        0.146715571857286        0.962897008047812                        0
         0.14754918306102        0.962573494616553                        0
        0.148382794264755        0.962249760575214                        0
        0.149216405468489        0.961925806793873                        0
