          k03DCutoffRatio                     ReB0                     ImB0
                     -2.5        -1.05941368276261                        0
        -2.49833277759253        -1.06266142428464                        0
        -2.49666555518506        -1.06592926968754                        0
        -2.49499833277759        -1.06921742569122                        0
        -2.49333111037012        -1.07252610209947                        0
        -2.49166388796265        -1.07585551186097                        0
        -2.48999666555518        -1.07920587113192                        0
        -2.48832944314772        -1.08257739934015                        0
        -2.48666222074025        -1.08597031925089                        0
        -2.48499499833278        -1.08938485703417                        0
        -2.48332777592531        -1.09282124233395                        0
        -2.48166055351784        -1.09627970833897                        0
        -2.47999333111037        -1.09976049185542                        0
         -2.4783261087029        -1.10326383338153                        0
        -2.47665888629543        -1.10678997718402                        0
        -2.47499166388796        -1.11033917137658                        0
        -2.47332444148049        -1.11391166800034                        0
        -2.47165721907302        -1.11750772310652                        0
        -2.46998999666555        -1.12112759684126                        0
        -2.46832277425809        -1.12477155353258                        0
        -2.46665555185062        -1.12843986177984                        0
        -2.46498832944315        -1.13213279454545                        0
        -2.46332110703568         -1.1358506292491                        0
        -2.46165388462821        -1.13959364786459                        0
        -2.45998666222074        -1.14336213701919                        0
        -2.45831943981327        -1.14715638809581                        0
         -2.4566522174058        -1.15097669733799                        0
        -2.45498499499833        -1.15482336595768                        0
        -2.45331777259086        -1.15869670024617                        0
        -2.45165055018339          -1.162597011688                        0
        -2.44998332777593        -1.16652461707819                        0
        -2.44831610536846        -1.17047983864265                        0
        -2.44664888296099        -1.17446300416216                        0
        -2.44498166055352        -1.17847444709979                        0
        -2.44331443814605        -1.18251450673205                        0
        -2.44164721573858        -1.18658352828383                        0
        -2.43997999333111        -1.19068186306721                        0
        -2.43831277092364        -1.19480986862444                        0
        -2.43664554851617        -1.19896790887503                        0
         -2.4349783261087        -1.20315635426728                        0
        -2.43331110370123        -1.20737558193427                        0
        -2.43164388129376        -1.21162597585456                        0
         -2.4299766588863        -1.21590792701772                        0
        -2.42830943647883        -1.22022183359492                        0
        -2.42664221407136        -1.22456810111466                        0
        -2.42497499166389        -1.22894714264399                        0
        -2.42330776925642        -1.23335937897525                        0
        -2.42164054684895        -1.23780523881868                        0
        -2.41997332444148          -1.242285159001                        0
        -2.41830610203401        -1.24679958467032                        0
        -2.41663887962654        -1.25134896950747                        0
        -2.41497165721907        -1.25593377594411                        0
         -2.4133044348116        -1.26055447538783                        0
        -2.41163721240413        -1.26521154845457                        0
        -2.40996998999667        -1.26990548520846                        0
         -2.4083027675892        -1.27463678540971                        0
        -2.40663554518173         -1.2794059587705                        0
        -2.40496832277426        -1.28421352521943                        0
        -2.40330110036679        -1.28906001517478                        0
        -2.40163387795932        -1.29394596982697                        0
        -2.39996665555185        -1.29887194143055                        0
        -2.39829943314438        -1.30383849360616                        0
        -2.39663221073691        -1.30884620165284                        0
        -2.39496498832944        -1.31389565287109                        0
        -2.39329776592197        -1.31898744689726                        0
         -2.3916305435145        -1.32412219604949                        0
        -2.38996332110704        -1.32930052568602                        0
        -2.38829609869957        -1.33452307457609                        0
         -2.3866288762921        -1.33979049528422                        0
        -2.38496165388463        -1.34510345456817                        0
        -2.38329443147716        -1.35046263379152                        0
        -2.38162720906969        -1.35586872935122                        0
        -2.37995998666222        -1.36132245312091                        0
        -2.37829276425475        -1.36682453291064                        0
        -2.37662554184728        -1.37237571294384                        0
        -2.37495831943981        -1.37797675435218                        0
        -2.37329109703234        -1.38362843568924                        0
        -2.37162387462487        -1.38933155346377                        0
        -2.36995665221741        -1.39508692269353                        0
        -2.36828942980994        -1.40089537748059                        0
        -2.36662220740247        -1.40675777160912                        0
          -2.364954984995        -1.41267497916681                        0
        -2.36328776258753         -1.4186478951909                        0
        -2.36162054018006        -1.42467743634011                        0
        -2.35995331777259        -1.43076454159371                        0
        -2.35828609536512        -1.43691017297906                        0
        -2.35661887295765        -1.44311531632891                        0
        -2.35495165055018        -1.44938098207015                        0
        -2.35328442814271        -1.45570820604536                        0
        -2.35161720573524        -1.46209805036901                        0
        -2.34994998332778        -1.46855160431987                        0
        -2.34828276092031        -1.47506998527171                        0
        -2.34661553851284        -1.48165433966408                        0
        -2.34494831610537         -1.4883058440154                        0
         -2.3432810936979        -1.49502570598047                        0
        -2.34161387129043         -1.5018151654549                        0
        -2.33994664888296        -1.50867549572883                        0
        -2.33827942647549        -1.51560800469268                        0
        -2.33661220406802        -1.52261403609783                        0
        -2.33494498166055        -1.52969497087508                        0
        -2.33327775925308        -1.53685222851434                        0
        -2.33161053684562        -1.54408726850874                        0
        -2.32994331443815        -1.55140159186697                        0
        -2.32827609203068        -1.55879674269776                        0
        -2.32660886962321        -1.56627430987052                        0
        -2.32494164721574        -1.57383592875675                        0
        -2.32327442480827        -1.58148328305682                        0
         -2.3216072024008        -1.58921810671735                        0
        -2.31993997999333        -1.59704218594452                        0
        -2.31827275758586         -1.6049573613191                        0
        -2.31660553517839        -1.61296553001961                        0
        -2.31493831277092        -1.62106864816006                        0
        -2.31327109036345        -1.62926873324962                        0
        -2.31160386795599        -1.63756786678191                        0
        -2.30993664554852        -1.64596819696199                        0
        -2.30826942314105        -1.65447194158031                        0
        -2.30660220073358        -1.66308139104276                        0
        -2.30493497832611        -1.67179891156757                        0
        -2.30326775591864        -1.68062694855979                        0
        -2.30160053351117         -1.6895680301756                        0
         -2.2999333111037        -1.69862477108937                        0
        -2.29826608869623        -1.70779987647724                        0
        -2.29659886628876        -1.71709614623263                        0
        -2.29493164388129        -1.72651647942992                        0
        -2.29326442147382        -1.73606387905397                        0
        -2.29159719906636        -1.74574145701486                        0
        -2.28992997665889        -1.75555243946864                        0
        -2.28826275425142        -1.76550017246675                        0
        -2.28659553184395        -1.77558812795886                        0
        -2.28492830943648        -1.78581991017595                        0
        -2.28326108702901        -1.79619926242282                        0
        -2.28159386462154         -1.8067300743121                        0
        -2.27992664221407        -1.81741638947453                        0
         -2.2782594198066         -1.8282624137836                        0
        -2.27659219739913        -1.83927252413646                        0
        -2.27492497499166        -1.85045127783661                        0
        -2.27325775258419        -1.86180342262877                        0
        -2.27159053017673        -1.87333390744085                        0
        -2.26992330776926        -1.88504789389393                        0
        -2.26825608536179        -1.89695076864678                        0
        -2.26658886295432        -1.90904815664891                        0
        -2.26492164054685        -1.92134593538322                        0
        -2.26325441813938        -1.93385025018858                        0
        -2.26158719573191        -1.94656753076188                        0
        -2.25991997332444        -1.95950450895029                        0
        -2.25825275091697        -1.97266823795663                        0
         -2.2565855285095        -1.98606611309468                        0
        -2.25491830610203        -1.99970589424706                        0
        -2.25325108369456        -2.01359573019591                        0
         -2.2515838612871        -2.02774418501701                        0
        -2.24991663887963        -2.04216026675098                        0
        -2.24824941647216        -2.05685345859122                        0
        -2.24658219406469        -2.07183375285871                        0
        -2.24491497165722        -2.08711168806745                        0
        -2.24324774924975        -2.10269838942462                        0
        -2.24158052684228        -2.11860561315419                        0
        -2.23991330443481        -2.13484579508557                        0
        -2.23824608202734        -2.15143210400944                        0
        -2.23657885961987          -2.168378500373                        0
         -2.2349116372124        -2.18569980096913                        0
        -2.23324441480493        -2.20341175036896                        0
        -2.23157719239747        -2.22153109995943                        0
           -2.22990996999        -2.24007569557837                        0
        -2.22824274758253        -2.25906457489439                        0
        -2.22657552517506        -2.27851807586107                        0
        -2.22490830276759        -2.29845795779218                        0
        -2.22324108036012        -2.31890753686183                        0
        -2.22157385795265        -2.33989183814195                        0
        -2.21990663554518        -2.36143776666241                        0
        -2.21823941313771        -2.38357430041495                        0
        -2.21657219073024        -2.40633270877897                        0
        -2.21490496832277        -2.42974680048708                        0
         -2.2132377459153        -2.45385320606098                        0
        -2.21157052350784        -2.47869170063159                        0
        -2.20990330110037        -2.50430557427635                        0
         -2.2082360786929        -2.53074205852118                        0
        -2.20656885628543        -2.55805281954808                        0
        -2.20490163387796        -2.58629453103419                        0
        -2.20323441147049        -2.61552954255405                        0
        -2.20156718906302        -2.64582666336494                        0
        -2.19989996665555        -2.67726208629105                        0
        -2.19823274424808        -2.70992048290842                        0
        -2.19656552184061          -2.743896309594                        0
        -2.19489829943314        -2.77929537511945                        0
        -2.19323107702568        -2.81623673526509                        0
        -2.19156385461821        -2.85485499989137                        0
        -2.18989663221074        -2.89530316513439                        0
        -2.18822940980327        -2.93775612101607                        0
         -2.1865621873958        -2.98241503746343                        0
        -2.18489496498833        -3.02951290667864                        0
        -2.18322774258086        -3.07932162813625                        0
        -2.18156052017339        -3.13216118194478                        0
        -2.17989329776592        -3.18841167573474                        0
        -2.17822607535845        -3.24852941777287                        0
        -2.17655885295098        -3.31306874735693                        0
        -2.17489163054351        -3.38271228929057                        0
        -2.17322440813605        -3.45831386181387                        0
        -2.17155718572858         -3.5409609726508                        0
        -2.16988996332111          -3.632068721376                        0
        -2.16822274091364        -3.73352618426028                        0
        -2.16655551850617        -3.84793496040251                        0
         -2.1648882960987         -3.9790196688957                        0
        -2.16322107369123        -4.13238458251158                        0
        -2.16155385128376        -4.31703906716912                        0
        -2.15988662887629        -4.54887438178848                        0
        -2.15821940646882        -4.86015429632875                        0
        -2.15655218406135        -5.33451076786594                        0
        -2.15488496165388        -6.36330000927229                        0
        -2.15321773924642        -6.32844842769803         2.91671166793489
        -2.15155051683895        -5.31690874756238         2.91634955210798
        -2.14988329443148        -4.84265328821798         2.91598654837235
        -2.14821607202401        -4.52909561989086         2.91562265377823
        -2.14654884961654        -4.29422469342058         2.91525786536336
        -2.14488162720907        -4.10621131990884         2.91489218015295
         -2.1432144048016         -3.9493276964101         2.91452559515963
        -2.14154718239413        -3.81463863135111         2.91415810738339
        -2.13987995998666        -3.69657780247801         2.91378971381147
        -2.13821273757919        -3.59144168032815         2.91342041141835
        -2.13654551517172         -3.4966411017509         2.91305019716564
        -2.13487829276425        -3.41029464852482         2.91267906800204
        -2.13321107035679        -3.33099208793065         2.91230702086326
        -2.13154384794932        -3.25764907400885         2.91193405267196
        -2.12987662554185        -3.18941387056049         2.91156016033768
        -2.12820940313438        -3.12560523085302         2.91118534075676
        -2.12654218072691        -3.06566972362523          2.9108095908123
        -2.12487495831944        -3.00915162868545         2.91043290737404
        -2.12320773591197        -2.95567120527648         2.91005528729834
         -2.1215405135045        -2.90490868538596         2.90967672742811
        -2.11987329109703        -2.85659227238304          2.9092972245927
        -2.11820606868956        -2.81048899936266         2.90891677560785
        -2.11653884628209        -2.76639766653863         2.90853537727562
        -2.11487162387462        -2.72414331487432         2.90815302638433
        -2.11320440146716        -2.68357285161142         2.90776971970846
        -2.11153717905969        -2.64455155106378         2.90738545400859
        -2.10986995665222        -2.60696022857784         2.90700022603136
        -2.10820273424475         -2.5706929379928         2.90661403250932
        -2.10653551183728        -2.53565508037285         2.90622687016093
        -2.10486828942981        -2.50176183888806         2.90583873569045
        -2.10320106702234        -2.46893687459244         2.90544962578788
        -2.10153384461487        -2.43711123258778         2.90505953712885
         -2.0998666222074         -2.4062224191164         2.90466846637459
        -2.09819939979993        -2.37621361849757         2.90427641017184
        -2.09653217739246        -2.34703302522506         2.90388336515274
        -2.09486495498499        -2.31863327148056         2.90348932793481
        -2.09319773257753        -2.29097093415841         2.90309429512081
        -2.09153051017006        -2.26400610850643         2.90269826329872
        -2.08986328776259        -2.23770203786376         2.90230122904161
        -2.08819606535512        -2.21202479086479          2.9019031889076
        -2.08652884294765        -2.18694297898896         2.90150413943976
        -2.08486162054018        -2.16242750855214         2.90110407716602
        -2.08319439813271        -2.13845136221911         2.90070299859913
        -2.08152717572524        -2.11498940591821         2.90030090023653
        -2.07985995331777         -2.0920182176941         2.89989777856029
         -2.0781927309103        -2.06951593557377         2.89949363003703
        -2.07652550850283        -2.04746212196593         2.89908845111784
        -2.07485828609537        -2.02583764248326         2.89868223823817
         -2.0731910636879        -2.00462455738477         2.89827498781779
        -2.07152384128043        -1.98380602409311         2.89786669626066
        -2.06985661887296        -1.96336620945803         2.89745735995488
        -2.06818939646549        -1.94329021061937         2.89704697527259
        -2.06652217405802        -1.92356398347756         2.89663553856987
        -2.06485495165055        -1.90417427791047         2.89622304618667
        -2.06318772924308        -1.88510857898712         2.89580949444673
        -2.06152050683561        -1.86635505352415         2.89539487965748
        -2.05985328442814        -1.84790250141265         2.89497919810993
        -2.05818606202067        -1.82974031121342         2.89456244607863
         -2.0565188396132        -1.81185841957898         2.89414461982154
        -2.05485161720574         -1.7942472741134         2.89372571557997
        -2.05318439479827        -1.77689779932618         2.89330572957844
         -2.0515171723908        -1.75980136537585         2.89288465802465
        -2.04984994998333        -1.74294975933345         2.89246249710934
        -2.04818272757586        -1.72633515872593         2.89203924300624
        -2.04651550516839        -1.70995010714572         2.89161489187192
        -2.04484828276092        -1.69378749173584         2.89118943984576
        -2.04318106035345        -1.67784052238013         2.89076288304981
        -2.04151383794598        -1.66210271244576         2.89033521758869
        -2.03984661553851        -1.64656786094133         2.88990643954956
        -2.03817939313104        -1.63123003596729         2.88947654500193
        -2.03651217072357        -1.61608355934805         2.88904552999764
        -2.03484494831611         -1.6011229923386         2.88861339057071
        -2.03317772590864        -1.58634312235932          2.8881801227373
        -2.03151050350117          -1.571738950568         2.88774572249552
         -2.0298432810937        -1.55730568034132         2.88731018582545
        -2.02817605868623        -1.54303870648925         2.88687350868891
        -2.02650883627876        -1.52893360518571         2.88643568702948
        -2.02484161387129        -1.51498612455261         2.88599671677231
        -2.02317439146382        -1.50119217584741         2.88555659382406
        -2.02150716905635        -1.48754782520799         2.88511531407278
        -2.01983994664888        -1.47404928591341         2.88467287338783
        -2.01817272424141        -1.46069291112207         2.88422926761975
        -2.01650550183394        -1.44747518705246         2.88378449260016
        -2.01483827942648         -1.4343927265746         2.88333854414167
        -2.01317105701901        -1.42144226318268         2.88289141803774
        -2.01150383461154        -1.40862064532211         2.88244311006263
        -2.00983661220407        -1.39592483104625         2.88199361597123
         -2.0081693897966        -1.38335188298003         2.88154293149899
        -2.00650216738913        -1.37089896356961          2.8810910523618
        -2.00483494498166        -1.35856333059881         2.88063797425586
        -2.00316772257419        -1.34634233295444         2.88018369285763
        -2.00150050016672        -1.33423340662422         2.87972820382364
        -1.99983327775925        -1.32223407091207         2.87927150279042
        -1.99816605535178        -1.31034192485682         2.87881358537441
        -1.99649883294431        -1.29855464384123         2.87835444717178
        -1.99483161053685        -1.28686997637946         2.87789408375837
        -1.99316438812938        -1.27528574107176         2.87743249068958
        -1.99149716572191        -1.26379982371596          2.8769696635002
        -1.98982994331444        -1.25241017456639         2.87650559770434
        -1.98816272090697        -1.24111480573105          2.8760402887953
         -1.9864954984995        -1.22991178869889         2.87557373224543
        -1.98482827609203        -1.21879925198943         2.87510592350606
        -1.98316105368456        -1.20777537891753         2.87463685800734
        -1.98149383127709        -1.19683840546658          2.8741665311581
        -1.97982660886962        -1.18598661826389         2.87369493834581
        -1.97815938646215        -1.17521835265248         2.87322207493635
        -1.97649216405468        -1.16453199085365         2.87274793627399
        -1.97482494164722        -1.15392596021551         2.87227251768118
        -1.97315771923975        -1.14339873154239         2.87179581445848
        -1.97149049683228        -1.13294881750098         2.87131782188441
