        k0To3DCutoffRatio                   RealB0                   ImagB0
                     -2.5        -0.26778661273786                        0
        -2.49833277759253       -0.268493505034004                        0
        -2.49666555518506       -0.269203892858358                        0
        -2.49499833277759       -0.269917803980819                        0
        -2.49333111037012       -0.270635266492746                        0
        -2.49166388796265       -0.271356308812012                        0
        -2.48999666555518       -0.272080959688168                        0
        -2.48832944314772       -0.272809248207708                        0
        -2.48666222074025       -0.273541203799443                        0
        -2.48499499833278       -0.274276856239985                        0
        -2.48332777592531       -0.275016235659345                        0
        -2.48166055351784       -0.275759372546645                        0
        -2.47999333111037       -0.276506297755955                        0
         -2.4783261087029       -0.277257042512246                        0
        -2.47665888629543       -0.278011638417473                        0
        -2.47499166388796        -0.27877011745678                        0
        -2.47332444148049       -0.279532512004852                        0
        -2.47165721907302       -0.280298854832382                        0
        -2.46998999666555       -0.281069179112697                        0
        -2.46832277425809       -0.281843518428512                        0
        -2.46665555185062       -0.282621906778843                        0
        -2.46498832944315       -0.283404378586059                        0
        -2.46332110703568       -0.284190968703101                        0
        -2.46165388462821       -0.284981712420848                        0
        -2.45998666222074       -0.285776645475656                        0
        -2.45831943981327       -0.286575804057062                        0
         -2.4566522174058       -0.287379224815656                        0
        -2.45498499499833       -0.288186944871141                        0
        -2.45331777259086       -0.288999001820563                        0
        -2.45165055018339       -0.289815433746734                        0
        -2.44998332777593       -0.290636279226854                        0
        -2.44831610536846        -0.29146157734132                        0
        -2.44664888296099       -0.292291367682748                        0
        -2.44498166055352       -0.293125690365195                        0
        -2.44331443814605       -0.293964586033611                        0
        -2.44164721573858       -0.294808095873501                        0
        -2.43997999333111       -0.295656261620818                        0
        -2.43831277092364       -0.296509125572098                        0
        -2.43664554851617       -0.297366730594827                        0
         -2.4349783261087       -0.298229120138068                        0
        -2.43331110370123       -0.299096338243337                        0
        -2.43164388129376       -0.299968429555748                        0
         -2.4299766588863       -0.300845439335427                        0
        -2.42830943647883       -0.301727413469215                        0
        -2.42664221407136       -0.302614398482648                        0
        -2.42497499166389       -0.303506441552248                        0
        -2.42330776925642       -0.304403590518116                        0
        -2.42164054684895       -0.305305893896841                        0
        -2.41997332444148       -0.306213400894739                        0
        -2.41830610203401        -0.30712616142143                        0
        -2.41663887962654       -0.308044226103762                        0
        -2.41497165721907       -0.308967646300096                        0
         -2.4133044348116       -0.309896474114961                        0
        -2.41163721240413       -0.310830762414092                        0
        -2.40996998999667       -0.311770564839864                        0
         -2.4083027675892       -0.312715935827138                        0
        -2.40663554518173       -0.313666930619522                        0
        -2.40496832277426       -0.314623605286076                        0
        -2.40330110036679       -0.315586016738461                        0
        -2.40163387795932       -0.316554222748557                        0
        -2.39996665555185       -0.317528281966568                        0
        -2.39829943314438       -0.318508253939611                        0
        -2.39663221073691       -0.319494199130838                        0
        -2.39496498832944       -0.320486178939076                        0
        -2.39329776592197       -0.321484255719027                        0
         -2.3916305435145       -0.322488492802038                        0
        -2.38996332110704       -0.323498954517459                        0
        -2.38829609869957       -0.324515706214614                        0
         -2.3866288762921       -0.325538814285411                        0
        -2.38496165388463       -0.326568346187602                        0
        -2.38329443147716       -0.327604370468726                        0
        -2.38162720906969       -0.328646956790762                        0
        -2.37995998666222       -0.329696175955504                        0
        -2.37829276425475       -0.330752099930706                        0
        -2.37662554184728       -0.331814801877006                        0
        -2.37495831943981       -0.332884356175671                        0
        -2.37329109703234       -0.333960838457184                        0
        -2.37162387462487       -0.335044325630723                        0
        -2.36995665221741       -0.336134895914537                        0
        -2.36828942980994       -0.337232628867286                        0
        -2.36662220740247       -0.338337605420365                        0
          -2.364954984995       -0.339449907911242                        0
        -2.36328776258753       -0.340569620117878                        0
        -2.36162054018006       -0.341696827294244                        0
        -2.35995331777259       -0.342831616207002                        0
        -2.35828609536512       -0.343974075173374                        0
        -2.35661887295765       -0.345124294100271                        0
        -2.35495165055018       -0.346282364524718                        0
        -2.35328442814271       -0.347448379655638                        0
        -2.35161720573524       -0.348622434417045                        0
        -2.34994998332778       -0.349804625492713                        0
        -2.34828276092031       -0.350995051372375                        0
        -2.34661553851284        -0.35219381239953                        0
        -2.34494831610537       -0.353401010820916                        0
         -2.3432810936979       -0.354616750837731                        0
        -2.34161387129043       -0.355841138658669                        0
        -2.33994664888296        -0.35707428255487                        0
        -2.33827942647549       -0.358316292916845                        0
        -2.33661220406802        -0.35956728231349                        0
        -2.33494498166055       -0.360827365553269                        0
        -2.33327775925308       -0.362096659747671                        0
        -2.33161053684562       -0.363375284377053                        0
        -2.32994331443815       -0.364663361358965                        0
        -2.32827609203068         -0.3659610151191                        0
        -2.32660886962321       -0.367268372664969                        0
        -2.32494164721574       -0.368585563662452                        0
        -2.32327442480827       -0.369912720515355                        0
         -2.3216072024008       -0.371249978448128                        0
        -2.31993997999333       -0.372597475591899                        0
        -2.31827275758586       -0.373955353073987                        0
        -2.31660553517839       -0.375323755111082                        0
        -2.31493831277092       -0.376702829106268                        0
        -2.31327109036345         -0.3780927257501                        0
        -2.31160386795599       -0.379493599125937                        0
        -2.30993664554852       -0.380905606819768                        0
        -2.30826942314105       -0.382328910034763                        0
        -2.30660220073358       -0.383763673710808                        0
        -2.30493497832611       -0.385210066649298                        0
        -2.30326775591864       -0.386668261643486                        0
        -2.30160053351117       -0.388138435614675                        0
         -2.2999333111037       -0.389620769754623                        0
        -2.29826608869623       -0.391115449674474                        0
        -2.29659886628876       -0.392622665560633                        0
        -2.29493164388129       -0.394142612337953                        0
        -2.29326442147382       -0.395675489840712                        0
        -2.29159719906636       -0.397221502991801                        0
        -2.28992997665889        -0.39878086199066                        0
        -2.28826275425142       -0.400353782510474                        0
        -2.28659553184395       -0.401940485905225                        0
        -2.28492830943648       -0.403541199427204                        0
        -2.28326108702901       -0.405156156455664                        0
        -2.28159386462154       -0.406785596737329                        0
        -2.27992664221407       -0.408429766639531                        0
         -2.2782594198066       -0.410088919416825                        0
        -2.27659219739913       -0.411763315491977                        0
        -2.27492497499166       -0.413453222752311                        0
        -2.27325775258419        -0.41515891686247                        0
        -2.27159053017673       -0.416880681594755                        0
        -2.26992330776926       -0.418618809178273                        0
        -2.26825608536179       -0.420373600668263                        0
        -2.26658886295432       -0.422145366337076                        0
        -2.26492164054685       -0.423934426088399                        0
        -2.26325441813938       -0.425741109896497                        0
        -2.26158719573191       -0.427565758272377                        0
        -2.25991997332444       -0.429408722758957                        0
        -2.25825275091697        -0.43127036645754                        0
         -2.2565855285095       -0.433151064588091                        0
        -2.25491830610203       -0.435051205086086                        0
        -2.25325108369456       -0.436971189238941                        0
         -2.2515838612871       -0.438911432365367                        0
        -2.24991663887963       -0.440872364541323                        0
        -2.24824941647216       -0.442854431376623                        0
        -2.24658219406469       -0.444858094846689                        0
        -2.24491497165722        -0.44688383418443                        0
        -2.24324774924975       -0.448932146837764                        0
        -2.24158052684228       -0.451003549498936                        0
        -2.23991330443481       -0.453098579212481                        0
        -2.23824608202734       -0.455217794569475                        0
        -2.23657885961987       -0.457361776996627                        0
         -2.2349116372124       -0.459531132149827                        0
        -2.23324441480493       -0.461726491422913                        0
        -2.23157719239747        -0.46394851358382                        0
           -2.22990996999       -0.466197886551818                        0
        -2.22824274758253       -0.468475329331392                        0
        -2.22657552517506       -0.470781594120351                        0
        -2.22490830276759       -0.473117468612275                        0
        -2.22324108036012       -0.475483778516157                        0
        -2.22157385795265       -0.477881390319475                        0
        -2.21990663554518       -0.480311214324795                        0
        -2.21823941313771       -0.482774207994562                        0
        -2.21657219073024       -0.485271379644216                        0
        -2.21490496832277       -0.487803792530106                        0
         -2.2132377459153       -0.490372569386401                        0
        -2.21157052350784       -0.492978897474342                        0
        -2.20990330110037       -0.495624034218221                        0
         -2.2082360786929       -0.498309313515798                        0
        -2.20656885628543        -0.50103615282713                        0
        -2.20490163387796       -0.503806061165567                        0
        -2.20323441147049       -0.506620648139128                        0
        -2.20156718906302       -0.509481634220613                        0
        -2.19989996665555       -0.512390862462459                        0
        -2.19823274424808       -0.515350311919587                        0
        -2.19656552184061        -0.51836211310319                        0
        -2.19489829943314       -0.521428565864595                        0
        -2.19323107702568       -0.524552160206327                        0
        -2.19156385461821       -0.527735600644729                        0
        -2.18989663221074       -0.530981834915472                        0
        -2.18822940980327       -0.534294088034769                        0
         -2.1865621873958       -0.537675903026459                        0
        -2.18489496498833        -0.54113119002969                        0
        -2.18322774258086       -0.544664286060032                        0
        -2.18156052017339       -0.548280028479383                        0
        -2.17989329776592       -0.551983846345914                        0
        -2.17822607535845        -0.55578187543804                        0
        -2.17655885295098       -0.559681105157096                        0
        -2.17489163054351       -0.563689569182612                        0
        -2.17322440813605       -0.567816597493896                        0
        -2.17155718572858       -0.572073156636359                        0
        -2.16988996332111        -0.57647232061648                        0
        -2.16822274091364       -0.581029941881095                        0
        -2.16655551850617       -0.585765641536409                        0
         -2.1648882960987       -0.590704334909255                        0
        -2.16322107369123       -0.595878712383085                        0
        -2.16155385128376       -0.601333566898751                        0
        -2.15988662887629       -0.607134097126499                        0
        -2.15821940646882       -0.613384199238474                        0
        -2.15655218406135       -0.620276887293935                        0
        -2.15488496165388       -0.628316716017571                        0
        -2.15321773924642       -0.638931086141398      0.00252133613499792
        -2.15155051683895       -0.646920850104975      0.00747621992513294
        -2.14988329443148       -0.653761200843422       0.0124295702195908
        -2.14821607202401       -0.659945810309926       0.0173813789376145
        -2.14654884961654       -0.665665564277605       0.0223316379583992
        -2.14488162720907       -0.671023652056753       0.0272803391209259
         -2.1432144048016       -0.676084997118628        0.032227474223783
        -2.14154718239413       -0.680894286928064       0.0371730350249989
        -2.13987995998666       -0.685484183281217       0.0421170132418703
        -2.13821273757919       -0.689879610740539       0.0470594005507873
        -2.13654551517172       -0.694100219059273       0.0520001885870626
        -2.13487829276425       -0.698161899351997       0.0569393689447554
        -2.13321107035679       -0.702077769246866       0.0618769331765012
        -2.13154384794932       -0.705858841021203       0.0668128727933338
        -2.12987662554185       -0.709514490859358       0.0717471792645142
        -2.12820940313438       -0.713052798165013        0.076679844017351
        -2.12654218072691       -0.716480797028431       0.0816108584370335
        -2.12487495831944       -0.719804666567219       0.0865402138664444
        -2.12320773591197       -0.723029877661003       0.0914679016059928
         -2.1215405135045       -0.726161307897966       0.0963939129134333
        -2.11987329109703       -0.729203332903556         0.10131823900369
        -2.11820606868956       -0.732159899823858         0.10624087104868
        -2.11653884628209       -0.735034587121277        0.111161800177135
        -2.11487162387462       -0.737830653729129        0.116081017474421
        -2.11320440146716       -0.740551079832367        0.120998513982367
        -2.11153717905969       -0.743198600985508        0.125914280699076
        -2.10986995665222       -0.745775736875597        0.130828308578754
        -2.10820273424475       -0.748284815741545        0.135740588531528
        -2.10653551183728       -0.750727995240232        0.140651111423262
        -2.10486828942981       -0.753107280383198        0.145559868075388
        -2.10320106702234       -0.755424539040743        0.150466849264713
        -2.10153384461487        -0.75768151541243        0.155372045723242
         -2.0998666222074       -0.759879841786928        0.160275448138001
        -2.09819939979993       -0.762021048854474         0.16517704715085
        -2.09653217739246       -0.764106574788044        0.170076833358308
        -2.09486495498499       -0.766137773271724        0.174974797311361
        -2.09319773257753       -0.768115920624591        0.179870929515288
        -2.09153051017006       -0.770042222144027        0.184765220429475
        -2.08986328776259       -0.771917817772534        0.189657660467231
        -2.08819606535512       -0.773743787175929        0.194548239995604
        -2.08652884294765        -0.77552115430741        0.199436949335205
        -2.08486162054018       -0.777250891520972        0.204323778760013
        -2.08319439813271       -0.778933923288454        0.209208718497194
        -2.08152717572524       -0.780571129566851        0.214091758726922
        -2.07985995331777       -0.782163348856075        0.218972889582189
         -2.0781927309103       -0.783711380981943         0.22385210114862
        -2.07652550850283       -0.785215989634571        0.228729383464289
        -2.07485828609537       -0.786677904688482        0.233604726519534
         -2.0731910636879       -0.788097824327381         0.23847812025677
        -2.07152384128043       -0.789476416993737        0.243349554570302
        -2.06985661887296        -0.79081432318086        0.248219019306141
        -2.06818939646549       -0.792112157083052        0.253086504261814
        -2.06652217405802       -0.793370508117626        0.257951999186181
        -2.06485495165055       -0.794589942330956        0.262815493779247
        -2.06318772924308       -0.795771003699432        0.267676977691972
        -2.06152050683561       -0.796914215334913        0.272536440526086
        -2.05985328442814       -0.798020080603316          0.2773938718339
        -2.05818606202067       -0.799089084163988        0.282249261118119
         -2.0565188396132       -0.800121692936779        0.287102597831655
        -2.05485161720574       -0.801118357002956        0.291953871377435
        -2.05318439479827       -0.802079510445538        0.296803071108218
         -2.0515171723908       -0.803005572134055        0.301650186326401
        -2.04984994998333        -0.80389694645822        0.306495206283832
        -2.04818272757586       -0.804754024014627        0.311338120181623
        -2.04651550516839       -0.805577182250157        0.316178917169961
        -2.04484828276092       -0.806366786065438        0.321017586347914
        -2.04318106035345       -0.807123188381419        0.325854116763246
        -2.04151383794598       -0.807846730671819        0.330688497412227
        -2.03984661553851       -0.808537743463974        0.335520717239441
        -2.03817939313104       -0.809196546810402        0.340350765137599
        -2.03651217072357       -0.809823450733163         0.34517862994735
        -2.03484494831611       -0.810418755642964        0.350004300457084
        -2.03317772590864       -0.810982752734763        0.354827765402754
        -2.03151050350117       -0.811515724361489        0.359649013467671
         -2.0298432810937       -0.812017944387368        0.364468033282329
        -2.02817605868623        -0.81248967852222        0.369284813424203
        -2.02650883627876       -0.812931184637977        0.374099342417564
        -2.02484161387129       -0.813342713068605        0.378911608733289
        -2.02317439146382       -0.813724506894464        0.383721600788668
        -2.02150716905635       -0.814076802212127        0.388529306947215
        -2.01983994664888       -0.814399828390552        0.393334715518478
        -2.01817272424141       -0.814693808314451        0.398137814757848
        -2.01650550183394       -0.814958958615662        0.402938592866366
        -2.01483827942648       -0.815195489893214        0.407737037990538
        -2.01317105701901       -0.815403606922791         0.41253313822214
        -2.01150383461154       -0.815583508856202        0.417326881598029
        -2.00983661220407       -0.815735389411452        0.422118256099952
         -2.0081693897966       -0.815859437053935        0.426907249654356
        -2.00650216738913       -0.815955835169288        0.431693850132201
        -2.00483494498166       -0.816024762228334        0.436478045348761
        -2.00316772257419        -0.81606639194459        0.441259823063443
