        k0To3DCutoffRatio                   RealB0                   ImagB0
                     -2.5       -0.183850488482803                        0
        -2.49833277759253       -0.184389673463809                        0
        -2.49666555518506       -0.184931800698357                        0
        -2.49499833277759       -0.185476895502432                        0
        -2.49333111037012       -0.186024983502761                        0
        -2.49166388796265         -0.1865760906419                        0
        -2.48999666555518       -0.187130243183429                        0
        -2.48832944314772       -0.187687467717253                        0
        -2.48666222074025       -0.188247791165013                        0
        -2.48499499833278       -0.188811240785614                        0
        -2.48332777592531       -0.189377844180872                        0
        -2.48166055351784       -0.189947629301274                        0
        -2.47999333111037       -0.190520624451868                        0
         -2.4783261087029       -0.191096858298277                        0
        -2.47665888629543       -0.191676359872842                        0
        -2.47499166388796       -0.192259158580901                        0
        -2.47332444148049         -0.1928452842072                        0
        -2.47165721907302        -0.19343476692245                        0
        -2.46998999666555       -0.194027637290026                        0
        -2.46832277425809       -0.194623926272814                        0
        -2.46665555185062       -0.195223665240207                        0
        -2.46498832944315       -0.195826885975266                        0
        -2.46332110703568       -0.196433620682029                        0
        -2.46165388462821       -0.197043901993001                        0
        -2.45998666222074       -0.197657762976797                        0
        -2.45831943981327       -0.198275237145971                        0
         -2.4566522174058        -0.19889635846502                        0
        -2.45498499499833       -0.199521161358574                        0
        -2.45331777259086       -0.200149680719771                        0
        -2.45165055018339       -0.200781951918832                        0
        -2.44998332777593       -0.201418010811836                        0
        -2.44831610536846       -0.202057893749696                        0
        -2.44664888296099       -0.202701637587356                        0
        -2.44498166055352       -0.203349279693197                        0
        -2.44331443814605       -0.204000857958675                        0
        -2.44164721573858       -0.204656410808186                        0
        -2.43997999333111       -0.205315977209171                        0
        -2.43831277092364       -0.205979596682468                        0
        -2.43664554851617       -0.206647309312909                        0
         -2.4349783261087       -0.207319155760191                        0
        -2.43331110370123       -0.207995177269998                        0
        -2.43164388129376       -0.208675415685418                        0
         -2.4299766588863       -0.209359913458623                        0
        -2.42830943647883       -0.210048713662866                        0
        -2.42664221407136        -0.21074186000476                        0
        -2.42497499166389       -0.211439396836881                        0
        -2.42330776925642        -0.21214136917069                        0
        -2.42164054684895       -0.212847822689785                        0
        -2.41997332444148       -0.213558803763496                        0
        -2.41830610203401       -0.214274359460834                        0
        -2.41663887962654       -0.214994537564805                        0
        -2.41497165721907       -0.215719386587099                        0
         -2.4133044348116       -0.216448955783167                        0
        -2.41163721240413       -0.217183295167704                        0
        -2.40996998999667       -0.217922455530537                        0
         -2.4083027675892        -0.21866648845295                        0
        -2.40663554518173       -0.219415446324452                        0
        -2.40496832277426       -0.220169382359991                        0
        -2.40330110036679       -0.220928350617654                        0
        -2.40163387795932       -0.221692406016845                        0
        -2.39996665555185       -0.222461604356979                        0
        -2.39829943314438       -0.223236002336688                        0
        -2.39663221073691       -0.224015657573572                        0
        -2.39496498832944       -0.224800628624517                        0
        -2.39329776592197       -0.225590975006576                        0
         -2.3916305435145       -0.226386757218468                        0
        -2.38996332110704       -0.227188036762684                        0
        -2.38829609869957       -0.227994876168243                        0
         -2.3866288762921       -0.228807339014113                        0
        -2.38496165388463       -0.229625489953324                        0
        -2.38329443147716       -0.230449394737793                        0
        -2.38162720906969       -0.231279120243897                        0
        -2.37995998666222        -0.23211473449881                        0
        -2.37829276425475       -0.232956306707641                        0
        -2.37662554184728       -0.233803907281404                        0
        -2.37495831943981        -0.23465760786584                        0
        -2.37329109703234       -0.235517481371139                        0
        -2.37162387462487       -0.236383602002584                        0
        -2.36995665221741       -0.237256045292163                        0
        -2.36828942980994       -0.238134888131177                        0
        -2.36662220740247       -0.239020208803888                        0
          -2.364954984995       -0.239912087022252                        0
        -2.36328776258753       -0.240810603961771                        0
        -2.36162054018006       -0.241715842298519                        0
        -2.35995331777259       -0.242627886247381                        0
        -2.35828609536512       -0.243546821601563                        0
        -2.35661887295765       -0.244472735773414                        0
        -2.35495165055018       -0.245405717836629                        0
        -2.35328442814271       -0.246345858569876                        0
        -2.35161720573524       -0.247293250501921                        0
        -2.34994998332778       -0.248247987958303                        0
        -2.34828276092031        -0.24921016710963                        0
        -2.34661553851284       -0.250179886021574                        0
        -2.34494831610537       -0.251157244706621                        0
         -2.3432810936979        -0.25214234517767                        0
        -2.34161387129043       -0.253135291503561                        0
        -2.33994664888296       -0.254136189866605                        0
        -2.33827942647549       -0.255145148622221                        0
        -2.33661220406802       -0.256162278360773                        0
        -2.33494498166055       -0.257187691971705                        0
        -2.33327775925308       -0.258221504710073                        0
        -2.33161053684562       -0.259263834265611                        0
        -2.32994331443815        -0.26031480083442                        0
        -2.32827609203068       -0.261374527193428                        0
        -2.32660886962321       -0.262443138777745                        0
        -2.32494164721574        -0.26352076376105                        0
        -2.32327442480827       -0.264607533139172                        0
         -2.3216072024008       -0.265703580817006                        0
        -2.31993997999333       -0.266809043698947                        0
        -2.31827275758586       -0.267924061783009                        0
        -2.31660553517839        -0.26904877825882                        0
        -2.31493831277092       -0.270183339609699                        0
        -2.31327109036345       -0.271327895719011                        0
        -2.31160386795599       -0.272482599981047                        0
        -2.30993664554852       -0.273647609416655                        0
        -2.30826942314105       -0.274823084793877                        0
        -2.30660220073358       -0.276009190753877                        0
        -2.30493497832611       -0.277206095942427                        0
        -2.30326775591864       -0.278413973147288                        0
        -2.30160053351117       -0.279632999441796                        0
         -2.2999333111037       -0.280863356335006                        0
        -2.29826608869623       -0.282105229928788                        0
        -2.29659886628876       -0.283358811082254                        0
        -2.29493164388129       -0.284624295583963                        0
        -2.29326442147382       -0.285901884332366                        0
        -2.29159719906636       -0.287191783524968                        0
        -2.28992997665889       -0.288494204856767                        0
        -2.28826275425142       -0.289809365728511                        0
        -2.28659553184395       -0.291137489465404                        0
        -2.28492830943648       -0.292478805546914                        0
        -2.28326108702901       -0.293833549848393                        0
        -2.28159386462154       -0.295201964895271                        0
        -2.27992664221407       -0.296584300130649                        0
         -2.2782594198066       -0.297980812197188                        0
        -2.27659219739913       -0.299391765234241                        0
        -2.27492497499166       -0.300817431191285                        0
        -2.27325775258419       -0.302258090158761                        0
        -2.27159053017673       -0.303714030717566                        0
        -2.26992330776926       -0.305185550308493                        0
        -2.26825608536179       -0.306672955623089                        0
        -2.26658886295432       -0.308176563017475                        0
        -2.26492164054685       -0.309696698950835                        0
        -2.26325441813938       -0.311233700450447                        0
