               rhoB[fm-3]                   T[GeV]               massU[GeV]               massD[GeV]               massS[GeV]        quarkChemPot[GeV]       baryonChemPot[GeV]        pressure[GeVfm-3]   energyDensity[GeVfm-3]     entropyDensity[fm-3]              sigmaU[GeV]              sigmaD[GeV]              sigmaS[GeV]               rhoU[fm-3]               rhoD[fm-3]               rhoS[fm-3]
                        0                        0        0.402731177647396         0.40273117764737        0.569096383450795                        0                        0                        0                        0                        0      -0.0139500736965645       -0.013950073696564      -0.0161994910009674                        0                        0                        0
                   0.0001                        0        0.402592179237024        0.402592179237024         0.56899466174714        0.403219851874614         1.20965955562384     5.87865627555357e-08     0.000120907169307624                        0      -0.0139464804954751      -0.0139464804954751      -0.0161984524259387     1.15252583834464e-06     1.15252583834464e-06                        0
      0.00110045022511256                        0        0.401203954702714        0.401203954702713        0.567978983927074        0.404310473187084         1.21293141956125     1.58897758169902e-06      0.00133318192248153                        0       -0.013910558810323       -0.013910558810323      -0.0161880640775217      1.2682975491254e-05     1.26829754912555e-05                        0
      0.00210090045022511                        0        0.399816669728826        0.399816669728807        0.566964438714335        0.404603934307969         1.21381180292391     2.91025937441891e-06      0.00254718771207591                        0      -0.0138745968427771      -0.0138745968427766      -0.0161776539902984     2.42134224420572e-05      2.4213422442204e-05                        0
      0.00310135067533767                        0         0.39842886901516         0.39842886901516        0.565949968388014        0.404645831541011         1.21393749462303     3.19220476028983e-06      0.00376165366996186                        0      -0.0138385566320733      -0.0138385566320733      -0.0161672112473545     3.57438678367227e-05     3.57438678367218e-05                        0
      0.00410180090045023                        0        0.397039898152494        0.397039898152493        0.564935102259929         0.40454460983723         1.21363382951169     2.06995221259605e-06      0.00497601438307465                        0      -0.0138024207961651       -0.013802420796165      -0.0161567308638785     4.72743151005954e-05     4.72743151006069e-05                        0
      0.00510225112556278                        0        0.395649341517709        0.395649341517708        0.563919544971749        0.404346692492377         1.21304007747713    -6.82938734218979e-07      0.00618991803949739                        0       -0.013766178061349       -0.013766178061349      -0.0161462096113602     5.88047624109938e-05     5.88047624109983e-05                        0
      0.00610270135067534                        0         0.39425689715759         0.39425689715759        0.562903084809019        0.404077322006016         1.21223196601805    -5.22597766544821e-06      0.00740311563404202                        0      -0.0137298200408645      -0.0137298200408645       -0.016135645091769     7.03352097251975e-05     7.03352097251934e-05                        0
       0.0071031515757879                        0        0.392862328097325        0.392862328097325        0.561885558008755        0.403752117653414         1.21125635296024    -1.16803576251821e-05      0.00861541782984636                        0      -0.0136933399878113      -0.0136933399878113      -0.0161250353783922      8.1865657039947e-05      8.1865657039947e-05                        0
      0.00810360180090045                        0        0.391465437765842        0.391465437765842        0.560866830729245        0.403381583098199          1.2101447492946    -2.01260039129944e-05      0.00982666860137432                        0      -0.0136567320664394      -0.0136567320664394      -0.0161143788346794      9.3396213190945e-05      9.3396213190945e-05                        0
      0.00910405202601301                        0        0.390066060366193        0.390066060366355        0.559846792046506        0.402973168821165         1.20891950646349    -3.06821352398659e-05       0.0110367558158083                        0       -0.013619991537459      -0.0136199915374638      -0.0161036740454261     0.000104926624110767     0.000104926624108831                        0
       0.0101045022511256                        0        0.388664047007042        0.388664047006527        0.558825343695038        0.402532435644215         1.20759730693265    -4.33918240294639e-05       0.0122455667914074                        0      -0.0135831136924231      -0.0135831136924075      -0.0160929197122581     0.000116457049192424     0.000116457049198795                        0
       0.0111049524762381                        0        0.387259264751095        0.387259264751255        0.557802399442129        0.402063641247189         1.20619092374157      -5.831486944594e-05       0.0134530115157999                        0      -0.0135460943607371      -0.0135460943607421       -0.016082114648981     0.000127987482236617     0.000127987482234572                        0
       0.0121054027013507                        0        0.385851591837897        0.385851591837826        0.556777881567365         0.40157013996056         1.20471041988168    -7.55036331692595e-05       0.0146590111634159                        0      -0.0135089296326245      -0.0135089296326223      -0.0160712577461002     0.000139517920009516     0.000139517920010441                        0
       0.0131058529264632                        0         0.38444091516005        0.384440915160218        0.555751719021081        0.401054631109953         1.20316389332986    -9.50047635905567e-05       0.0158634958633583                        0      -0.0134716157960458      -0.0134716157960511      -0.0160603479525178     0.000151048360733971     0.000151048360731728                        0
       0.0141063031515758                        0        0.383027128414328        0.383027128414006        0.554723846071059        0.400519325525602         1.20155797657681    -0.000116860389934087       0.0170664030385188                        0      -0.0134341492900373       -0.013434149290027      -0.0160493842620799     0.000162578803366646     0.000162578803371039                        0
       0.0151067533766883                        0        0.381610130700243        0.381610130700317        0.553694201285599        0.399966061033609         1.19989818310083    -0.000141108994359104       0.0182676761441407                        0      -0.0133965266690999      -0.0133965266691023      -0.0160383657034601     0.000174109247283278     0.000174109247282255                        0
       0.0161072036018009                        0        0.380189825450226        0.380189825450188        0.552662726753343        0.399396384890553         1.19818915467166    -0.000167786060949843        0.019467263685502                        0      -0.0133587445758201      -0.0133587445758189      -0.0160272913323865     0.000185639692077111     0.000185639692077635                        0
       0.0171076538269135                        0        0.378766119583058        0.378766119583045        0.551629367473743        0.398811614067196         1.19643484220159     -0.00019692457894007       0.0206651184437758                        0      -0.0133207997190644       -0.013320799719064      -0.0160161602255538     0.000197170137490728     0.000197170137490903                        0
        0.018108104052026                        0        0.377338922825249        0.377338922825061        0.550594070866969        0.398212880267877         1.19463864080363    -0.000228555445756548       0.0218611968640296                        0      -0.0132826888564266      -0.0132826888564204      -0.0160049714757055     0.000208700583349281      0.00020870058335202                        0
       0.0191085542771386                        0        0.375908147164761        0.375908147164654        0.549556786383608        0.397601164181723         1.19280349254517    -0.000262707783168121       0.0230554585506224                        0      -0.0132444087799374      -0.0132444087799339      -0.0159937241877009     0.000220231029535204     0.000220231029536794                        0
       0.0201090045022511                        0        0.374473706401095        0.374473706401147        0.548517465184623         0.39697732196073         1.19093196588219    -0.000299409194797657       0.0242478658544761                        0       -0.013205956304199      -0.0132059563042008      -0.0159824174752685     0.000231761475965344     0.000231761475964556                        0
       0.0211094547273637                        0        0.373035515764383        0.373035515764431        0.547476059873294        0.396342105979514         1.18902631793854    -0.000338685986088471       0.0254383835370779                        0      -0.0131673282562729      -0.0131673282562745      -0.0159710504582616     0.000243291922578227     0.000243291922577505                        0
       0.0221099049524762                        0        0.371593491600593        0.371593491600449        0.546432524275539        0.395696181331777         1.18708854399533     -0.00038056333926259       0.0266269784815698                        0      -0.0131285214671675      -0.0131285214671626      -0.0159596222603893     0.000254822369329553     0.000254822369331768                        0
       0.0231103551775888                        0         0.37014755109991         0.37014755109986        0.545386813253076        0.395040139083034          1.1851204172491    -0.000425065463634141       0.0278136194518195                        0      -0.0130895327644145      -0.0130895327644128      -0.0159481320072636     0.000266352816191894     0.000266352816192658                        0
       0.0241108054027014                        0         0.36869761206045        0.368697612060514        0.544338882542061        0.394374507027893         1.18312352108368    -0.000472215728189226       0.0289982768915031                        0       -0.013050358965542      -0.0130503589655442      -0.0159365788246868     0.000277883263138752     0.000277883263137753                        0
       0.0251112556278139                        0        0.367243592691259        0.367243592691174        0.543288688622394        0.393699758516338         1.18109927554902    -0.000522036761745781       0.0301809227398146                        0      -0.0130109968724453      -0.0130109968724424      -0.0159249618372457     0.000289413710151296      0.00028941371015263                        0
       0.0261117058529265                        0        0.365785411427589        0.365785411427755        0.542236188595954         0.39301631973996         1.17904895921988     -0.00057455055552288        0.031361530287164                        0      -0.0129714432661205      -0.0129714432661262      -0.0159132801669753     0.000300944157220093     0.000300944157217439                        0
        0.027112156078039                        0          0.3643229867779        0.364322986777812         0.54118134008797        0.392324575812265         1.17697372743679    -0.000629778539499672       0.0325400740386378                        0      -0.0129316949021283      -0.0129316949021252       -0.015901532932254     0.000312474604327758     0.000312474604329183                        0
       0.0281126063031516                        0        0.362856237179569        0.362856237179634        0.540124101157524        0.391624875867969         1.17487462760391     -0.00068774165585101       0.0337165296006946                        0      -0.0128917485062617       -0.012891748506264      -0.0158897192467789     0.000324005051472378     0.000324005051471324                        0
       0.0291130565282641                        0        0.361385080876303        0.361385080876233        0.539064430221842        0.390917537376464         1.17275261212939    -0.000748460417828442       0.0348908735772205                        0      -0.0128516007707377      -0.0128516007707353      -0.0158778382186746      0.00033553549864367     0.000335535498644816                        0
       0.0301135067533767                        0        0.359909435797301          0.3599094357973        0.538002285984956         0.39020284980337         1.17060854941011    -0.000811954970896668       0.0360630834856357                        0      -0.0128112483504238      -0.0128112483504237      -0.0158658889496338     0.000347065945839468     0.000347065945839487                        0
       0.0311139569784892                        0          0.3584292194602        0.358429219460228        0.536937627383152         0.38948107775305         1.16844323325915    -0.000878245131870282       0.0372331376695344                        0      -0.0127706878595911      -0.0127706878595921      -0.0158538705342301     0.000358596393054208     0.000358596393053738                        0
       0.0321144072036018                        0        0.356944348866964        0.356944348866804        0.535870413525904        0.388752463658732          1.1662573909762     -0.00094735044176664       0.0384010152373413                        0       -0.012729915868529      -0.0127299158685233      -0.0158417820591659     0.000370126840282674     0.000370126840285335                        0
       0.0331148574287144                        0        0.355454740421788        0.355454740421713        0.534800603654803        0.388017230120826         1.16405169036248     -0.00101929019451417       0.0395666959907228                        0      -0.0126889289006081      -0.0126889289006054      -0.0158296226027098     0.000381657287526186      0.00038165728752745                        0
       0.0341153076538269                        0        0.353960309842913        0.353960309842814        0.533728157097198         0.38727558192653         1.16182674577959     -0.00109408347846605       0.0407301603751344                        0       -0.012647723429241      -0.0126477234292375      -0.0158173912340627     0.000393187734779491     0.000393187734781164                        0
       0.0351157578789395                        0        0.352460972088897        0.352460972088849        0.532653033232748        0.386527707821174         1.15958312346352     -0.00117174920119454       0.0418913894239365                        0       -0.012606295875109      -0.0126062958751072      -0.0158050870128588     0.000404718182043015      0.00040471818204383                        0
        0.036116208104052                        0        0.350956641282056        0.350956641282104        0.531575191457454        0.385773782053101          1.1573213461593     -0.00125230612183467       0.0430503647172139                        0      -0.0125646426033411      -0.0125646426033429      -0.0157927089886282     0.000416248629314654      0.00041624862931384                        0
       0.0371166583291646                        0        0.349447230642968        0.349447230643061        0.530494591157466        0.385013965739674         1.15504189721902     -0.00133577287093324       0.0442070683362585                        0      -0.0125227599208991      -0.0125227599209025      -0.0157802562003611     0.000427779076591822     0.000427779076590225                        0
       0.0381171085542771                        0        0.347932652422602        0.347932652422569        0.529411191681894        0.384248408069024         1.15274522420707     -0.00142216797458031       0.0453614828282033                        0      -0.0124806440738968      -0.0124806440738956      -0.0157677276760521     0.000439309523873071     0.000439309523873646                        0
       0.0391175587793897                        0        0.346412817840826         0.34641281784069        0.528324952320922        0.383477247368498          1.1504317421055     -0.00151150987311441       0.0465135911709073                        0      -0.0124382912450329      -0.0124382912450279      -0.0157551224322971     0.000450839971159275     0.000450839971161629                        0
       0.0401180090045023                        0        0.344887637024958        0.344887637024904        0.527235832285156        0.382700612053081         1.14810183615924     -0.00160381694021207       0.0476633767432371                        0      -0.0123956975510066      -0.0123956975510046       -0.015742439473897      0.00046237041845087      0.00046237041845181                        0
       0.0411184592296148                        0        0.343357018952625         0.34335701895274        0.526143790689028        0.381918621474159         1.14575586442248     -0.00169910749783709       0.0488108232960383                        0      -0.0123528590399962      -0.0123528590400004      -0.0157296777935004      0.00047390086574669     0.000473900865744675                        0
       0.0421189094547274                        0        0.341820871398992        0.341820871399025        0.525048786538225        0.381131386682306         1.14339416004692     -0.00179739982736708       0.0499559149235496                        0      -0.0123097716892042      -0.0123097716892054      -0.0157168363712872     0.000485431313043237     0.000485431313042668                        0
       0.0431193596798399                        0        0.340279100877938        0.340279100878029        0.523950778714454        0.380339011106832          1.1410170333205     -0.00189871218674494       0.0510986360439283                        0      -0.0122664314022365      -0.0122664314022398      -0.0157039141746148     0.000496961760343586     0.000496961760341995                        0
       0.0441198099049525                        0         0.33873161259321        0.338731612593215        0.522849725968063         0.37954159117485         1.13862477352455     -0.00200306281805843       0.0522389713742957                        0      -0.0122228340066823      -0.0122228340066825      -0.0156909101577497     0.000508492207644043     0.000508492207643941                        0
        0.045120260130065                        0        0.337178310387859         0.33717831038786        0.521745586910335         0.37873921687034         1.13621765061102     -0.00211046995670618       0.0533769059107883                        0      -0.0121789752516034      -0.0121789752516034      -0.0156778232615912      0.00052002265494743     0.000520022654947408                        0
       0.0461207103551776                        0        0.335619096692099        0.335619096692174         0.52063832000668        0.377931972238158         1.13379591671448     -0.00222095184254986       0.0545124249123771                        0      -0.0121348508049755      -0.0121348508049783      -0.0156646524133993      0.00053155310225286     0.000531553102251528                        0
       0.0471211605802902                        0         0.33405387248091        0.334053872480804        0.519527883577503        0.377119935851213         1.13135980755364     -0.00233452672058657       0.0556455138787365                        0      -0.0120904562512959      -0.0120904562512919      -0.0156513965266106     0.000543083549557593     0.000543083549559481                        0
       0.0481216108054027                        0        0.332482537219739        0.332482537219655        0.518414235792211        0.376303181226732          1.1289095436802     -0.00245121285421519       0.0567761585413194                        0      -0.0120457870888912       -0.012045787088888      -0.0156380545005679     0.000554613996865315     0.000554613996866809                        0
       0.0491220610305153                        0        0.330904988825534        0.330904988825607        0.517297334675245        0.375481777219308         1.12644533165793     -0.00257102852289519       0.0579043448430954                        0      -0.0120008387275393      -0.0120008387275421      -0.0156246252203892     0.000566144444174684     0.000566144444173391                        0
       0.0501225112556278                        0        0.329321123620493        0.329321123620203        0.516177138108474        0.374655788376395         1.12396736512919     -0.00269399202695459       0.0590300589270256                        0      -0.0119556064858849      -0.0119556064858739       -0.015611107556792     0.000577674891480675     0.000577674891485863                        0
       0.0511229614807404                        0        0.327730836286653        0.327730836286605        0.515053603836452        0.373825275267315         1.12147582580195     -0.00282012169101816        0.060153287124976                        0      -0.0119100855888192      -0.0119100855888173       -0.015597500365948     0.000589205338792173     0.000589205338793033                        0
       0.0521234117058529                        0        0.326134019827322        0.326134019827208        0.513926689476546        0.372990294791071         1.11897088437321      -0.0029494358620418       0.0612740159445333                        0       -0.011864271165015      -0.0118642711650107      -0.0155838024893954     0.000600735786101537     0.000600735786103585                        0
       0.0531238619309655                        0        0.324530565527115        0.324530565527059        0.512796352531399        0.372150900463748         1.11645270139124     -0.00308195290689411       0.0623922320571312                        0      -0.0118181582443419      -0.0118181582443397      -0.0155700127539787     0.000612266233412931     0.000612266233413929                        0
        0.054124312156078                        0        0.322920362907188        0.322920362906888        0.511662550398609        0.371307142679759         1.11392142803928     -0.00321769121644146       0.0635079222936304                        0      -0.0117717417551755       -0.011771741755164       -0.015556129971754     0.000623796680720964     0.000623796680726364                        0
       0.0551247623811906                        0        0.321303299695277        0.321303299695332        0.510525240393348        0.370459068970876         1.11137720691263     -0.00335666919319784       0.0646210736283981                        0      -0.0117250165219617      -0.0117250165219638      -0.0155421529400523     0.000635327128034901     0.000635327128033904                        0
       0.0561252126063032                        0        0.319679261785136        0.319679261785174        0.509384379764013         0.36960672423787         1.10882017271361     -0.00349890525257334       0.0657316731762533                        0      -0.0116779772625516      -0.0116779772625531      -0.0155280804414588     0.000646857575346267     0.000646857575345585                        0
       0.0571256628314157                        0         0.31804813320289        0.318048133203153        0.508239925717187        0.368750150977583         1.10625045293275     -0.00364441781374486       0.0668397081827554                        0       -0.011630618585599      -0.0116306185856091      -0.0155139112439092     0.000658388022659839     0.000658388022655098                        0
       0.0581261130565283                        0        0.316409796076771        0.316409796076643        0.507091835443985        0.367889389498061         1.10366816849418     -0.00379322529138692       0.0679451660174998                        0      -0.0115829349880458      -0.0115829349880408      -0.0154996441008053      0.00066991846996733     0.000669918469969643                        0
       0.0591265632816408                        0        0.314764130604139        0.314764130604273        0.505940066149768        0.367024478123557         1.10107343437067     -0.00394534608611656       0.0690480341683189                        0      -0.0115349208524551      -0.0115349208524603      -0.0154852777511772     0.000681448917282451     0.000681448917280024                        0
       0.0601270135067534                        0        0.313111015027284        0.313111015027182        0.504784575088365        0.366155453393569         1.09846636018071     -0.00410079857349597       0.0701483002355704                        0      -0.0114865704445833      -0.0114865704445794      -0.0154708109199061     0.000692979364590964     0.000692979364592812                        0
       0.0611274637318659                        0        0.311450325607501        0.311450325607558        0.503625319601753        0.365282350256932          1.0958470507708      -0.0042596010870625       0.0712459519252374                        0      -0.0114378779107878      -0.0114378779107901      -0.0154562423180229     0.000704509811904218     0.000704509811903188                        0
       0.0621279139569785                        0        0.309781936601009        0.309781936601178        0.502462257159227        0.364405202255573         1.09321560676672      -0.0044217719086471       0.0723409770484421                        0      -0.0113888372755273      -0.0113888372755339      -0.0154415706430075     0.000716040259216168     0.000716040259213124                        0
        0.063128364182091                        0        0.308105720244696         0.30810572024463        0.501295345408636        0.363524041713255         1.09057212513977     -0.00458732924470887       0.0734333635132478                        0      -0.0113394424390041      -0.0113394424390015      -0.0154267945792497     0.000727570706525586     0.000727570706526765                        0
       0.0641288144072036                        0        0.306421546737175        0.306421546737137        0.500124542226407        0.362638899913681         1.08791669974104     -0.00475629121035534       0.0745230993241234                        0      -0.0112896871746862      -0.0112896871746847      -0.0154119127985063     0.000739101153837186     0.000739101153837881                        0
       0.0651292646323162                        0        0.304729284232098        0.304729284232136        0.498949805777053        0.361749807283395         1.08524942185018     -0.00492867580466689       0.0756101725776312                        0      -0.0112395651271051      -0.0112395651271066      -0.0153969239604912     0.000750631601148586     0.000750631601147895                        0
       0.0661297148574287                        0        0.303028798829864        0.303028798829987        0.497771094576328        0.360856793570123         1.08257038071037     -0.00510450088674049        0.076694571461104                        0      -0.0111890698095735      -0.0111890698095783      -0.0153818267135279     0.000762162048460405     0.000762162048458187                        0
       0.0671301650825413                        0        0.301319954579055        0.301319954578913        0.496588367562933        0.359959888024836         1.07987966407451     -0.00528378414653304       0.0777762842497236                        0      -0.0111381946021317      -0.0111381946021262      -0.0153666196953274     0.000773692495769342     0.000773692495771898                        0
       0.0681306153076538                        0        0.299602613481701        0.299602613481891        0.495401584175906        0.359059119584791         1.07717735875437      -0.0054665430739395        0.078855299305506                        0      -0.0110869327495564      -0.0110869327495639      -0.0153513015338607     0.000785222943082223     0.000785222943078794                        0
       0.0691310655327664                        0        0.297876635501782        0.297876635501663        0.494210704436792        0.358154517054703         1.07446355116411     -0.00565279492751086       0.0799316050793214                        0      -0.0110352773594717      -0.0110352773594671      -0.0153358708483138     0.000796753390389198     0.000796753390391327                        0
       0.0701315157578789                        0        0.296141878591592        0.296141878591464        0.493015689048353        0.357246109303397         1.07173832791019     -0.00584255668987805       0.0810051901053566                        0      -0.0109832214008423      -0.0109832214008372      -0.0153203262502833     0.000808283837699348     0.000808283837701657                        0
       0.0711319659829915                        0        0.294398198709974        0.294398198710167         0.49181649948966        0.356333925448725         1.06900177634617     -0.00603584503438908       0.0820760430080933                        0      -0.0109307577023271      -0.0109307577023347      -0.0153046663449537     0.000819814285012045     0.000819814285008571                        0
       0.0721324162081041                        0        0.292645449868333        0.292645449868289        0.490613098133686        0.355417995065323         1.06625398519597     -0.00623267627114134       0.0831441524972309                        0      -0.0108778789513025      -0.0108778789513008      -0.0152888897326004     0.000831344732318892     0.000831344732319679                        0
       0.0731328664332166                        0        0.290883484170483        0.290883484170254         0.48940544836472        0.354498348386765         1.06349504516029     -0.00643306630118277       0.0842095073732678                        0      -0.0108245776927417      -0.0108245776927327      -0.0152729950101267     0.000842875179627388     0.000842875179631479                        0
       0.0741333166583292                        0        0.289112151871095         0.28911215187121        0.488193514711033        0.353575016519802         1.06072504955941     -0.00663703056160443       0.0852720965294934                        0      -0.0107708463286245      -0.0107708463286291      -0.0152569807728424      0.00085440562693934     0.000854405626937276                        0
       0.0751337668834417                        0        0.287331301449598        0.287331301449739        0.486977262991747        0.352648031671032          1.0579440950131      -0.0068445839610807       0.0863319089524646                        0       -0.010716677117764      -0.0107166771177696      -0.0152408456164745     0.000865936074248254     0.000865936074245738                        0
       0.0761342171085543                        0        0.285540779687343        0.285540779687447        0.485756660469944        0.351717427376138         1.05515228212841     -0.00705574081872471       0.0873889337293019                        0        -0.01066206217576      -0.0106620621757641      -0.0152245881393116     0.000877466521556499     0.000877466521554649                        0
       0.0771346673336668                        0        0.283740431774123        0.283740431774237        0.484531676027794        0.350783238750839         1.05234971625252     -0.00727051478664114       0.0884431600483395                        0      -0.0106069934757886      -0.0106069934757932      -0.0152082069446975      0.00088899696886498      0.00088899696886295                        0
       0.0781351175587794                        0        0.281930101415909        0.281930101415726        0.483302280348804        0.349845502742149         1.04953650822645     -0.00748891877511387       0.0894945772069436                        0      -0.0105514628495113      -0.0105514628495041       -0.015191700643682     0.000900527416170567     0.000900527416173806                        0
        0.079135567783892                        0          0.2801096309758        0.280109630975718        0.482068446122381        0.348904258406152         1.04671277521846     -0.00771096486323936       0.0905431746155351                        0      -0.0104954619889266      -0.0104954619889234      -0.0151750678580403     0.000912057863479213     0.000912057863480659                        0
       0.0801360180090045                        0        0.278278861621586        0.278278861621493        0.480830148258975        0.347959547188418         1.04387864156525     -0.00793666420945353       0.0915889418073754                        0      -0.0104389824485524      -0.0104389824485486      -0.0151583072235112     0.000923588310787915     0.000923588310789568                        0
       0.0811364682341171                        0        0.276437633510975        0.276437633510861         0.47958736413389        0.347011413234444         1.04103423970333     -0.00816602694317678       0.0926318684410748                        0      -0.0103820156487107      -0.0103820156487061       -0.015141417393507     0.000935118758094768      0.00093511875809678                        0
       0.0821369184592296                        0        0.274585785984543        0.274585785984581        0.478340073837714        0.346059903704204         1.03817971111261     -0.00839906206092667       0.0936719443156159                        0      -0.0103245528792047      -0.0103245528792062      -0.0151243970430076     0.000946649205403965     0.000946649205403305                        0
       0.0831373686843422                        0        0.272723157805498        0.272723157805723        0.477088260463599        0.345105069121022         1.03531520736306     -0.00863577729769399       0.0947091593731831                        0      -0.0102665853044395      -0.0102665853044485      -0.0151072448730582     0.000958179652713519      0.00095817965270958                        0
       0.0841378189094547                        0        0.270849587410033        0.270849587410116        0.475831910403708        0.344146963726824         1.03244089118047     -0.00887617900209111       0.0957435037148352                        0       -0.010208103969058      -0.0102081039690614      -0.0150899596155075     0.000969710100020285     0.000969710100018819                        0
       0.0851382691345673                        0        0.268964913203761        0.268964913203864        0.474571013678704        0.343185645870696         1.02955693761209     -0.00912027199184903       0.0967749676109007                        0      -0.0101490998050688       -0.010149099805073       -0.015072540038322      0.00098124054732776     0.000981240547325956                        0
       0.0861387193596798                        0        0.267068973894854         0.26706897389443        0.473305564294594        0.342221178421129         1.02666353526339     -0.00936805939627026       0.0978035415118661                        0      -0.0100895636402922      -0.0100895636402752      -0.0150549849514172     0.000992770994631179     0.000992770994638541                        0
       0.0871391695847924                        0        0.265161608855235        0.265161608855271        0.472035560621756        0.341253629197164         1.02376088759149      -0.0096195424932627       0.0988292160656001                        0      -0.0100294862078929      -0.0100294862078943      -0.0150372932129438      0.00100430144194364      0.00100430144194301                        0
        0.088139619809905                        0        0.263242658541048        0.263242658540849        0.470761005811001        0.340283071436652         1.02084921430995     -0.00987472052512922        0.099851982131402                        0     -0.00996885815797348     -0.00996885815796544      -0.0150194637362551      0.00101583188925038      0.00101583188925382                        0
       0.0891400700350175                        0        0.261311964949756        0.261311964949559        0.469481908240148        0.339309584290105         1.01792875287031       -0.010133590501975         0.10087183079683                        0     -0.00990767007056035      -0.0099076700705524      -0.0150014954974798      0.00102736233655977      0.00102736233656315                        0
       0.0901405202601301                        0        0.259369372137172        0.259369372137436        0.468198281996562        0.338333253348831         1.01499976004649      -0.0103961469882771        0.101888753395775                        0     -0.00984591247080995     -0.00984591247082063      -0.0149833875437966      0.00103889278387394      0.00103889278386942                        0
       0.0911409704852426                        0        0.257414726782677        0.257414726782882        0.466910147392362         0.33735417120127         1.01206251360381       -0.010662381876916        0.102902741531332                        0     -0.00978357584611304     -0.00978357584612133      -0.0149651390023836      0.00105042323118553      0.00105042323118204                        0
       0.0921414207103552                        0        0.255447878830013        0.255447878830362        0.465617531529197        0.336372438036638         1.00911731410991      -0.0109322841350812        0.103913787093404                        0     -0.00972065066592507     -0.00972065066593922      -0.0149467490903034      0.00106195367850063      0.00106195367849469                        0
       0.0931418709354677                        0        0.253468682184033        0.253468682184334        0.464320468894869        0.335388162275156         1.00616448682547      -0.0112058395411392        0.104921882285651                        0     -0.00965712740393771     -0.00965712740394989      -0.0149282171250954      0.00107348412581358      0.00107348412580849                        0
       0.0941423211605803                        0        0.251476995481509        0.251476995481285        0.463019002006489        0.334401461240392         1.00320438372118       -0.011483030397894        0.105927019652772                        0     -0.00959299656311226      -0.0095929965631032      -0.0149095425363098       0.0010850145731247      0.00108501457312847                        0
