        quarkChemPot[GeV]       baryonChemPot[GeV]                   T[GeV]        pressure[GeVfm-3]        rhoB_broken[fm-3]        massU_broken[GeV]        massD_broken[GeV]        massS_broken[GeV]    energyDens_broken[GeVfm-3]      entropyDens_broken[fm-3]       sigmaU_broken[GeV]       sigmaD_broken[GeV]       sigmaS_broken[GeV]        rhoU_broken[fm-3]        rhoD_broken[fm-3]        rhoS_broken[fm-3]      rhoB_restored[fm-3]      massU_restored[GeV]      massD_restored[GeV]      massS_restored[GeV]  energyDens_restored[GeVfm-3]    entropyDens_restored[fm-3]     sigmaU_restored[GeV]     sigmaD_restored[GeV]     sigmaS_restored[GeV]      rhoU_restored[fm-3]      rhoD_restored[fm-3]      rhoS_restored[fm-3]
        0.361079836087274         1.08323950826182                        0    -5.36435217188743e-13                        0        0.367648250495419        0.367648250495418        0.549479201374377          5.36435217188743e-13                             0      -0.0141629683911859      -0.0141629683911859      -0.0171112423622331                        0                        0                        0        0.400785973967886       0.0525511374043668       0.0525511374043661        0.464373419180428             0.434147201359799                             0     -0.00186667885633346     -0.00186667885633344      -0.0159432223838707      0.00461916189471186      0.00461916189471186                        0
        0.361065875213924         1.08319762564177                    0.001     1.01299469138956e-09     3.24180071009306e-07        0.367648028200955        0.367648028200903        0.549479102433872          3.58976332523085e-07          8.83830068707623e-06      -0.0141629599017291       -0.014162959901728      -0.0171112411787533     3.73625907156205e-09     3.73625907175579e-09     7.33607780226033e-88        0.400762756982786        0.052565384484121       0.0525653844839214        0.464374382304568             0.434138839588495            0.0335743135010395     -0.00186724375971016     -0.00186724375970299      -0.0159432374783224       0.0046188943129598      0.00461889431296094     5.20740014078596e-51
        0.361062943226116         1.08318882967835                   0.0011     2.24291782421894e-09     6.78787340855504e-07        0.367647785188327        0.367647785188337        0.549478994272109          7.52036079902792e-07          1.72946667429905e-05      -0.0141629506217691      -0.0141629506217693      -0.0171112398849727     7.82319947094213e-09     7.82319947087196e-09     2.31946656180365e-80        0.400757876660321       0.0525683845648307        0.052568384564774        0.464374585336648             0.434137077641744            0.0369313698335663     -0.00186736268861159     -0.00186736268860955      -0.0159432406603132      0.00461883806598295      0.00461883806598327      7.1846121753243e-47
        0.361059733745104         1.08317920123531                   0.0012     4.58048575922559e-09     1.27064337552231e-06        0.367647379827096         0.36764737982708        0.549478813851144          1.40833767051283e-06          3.04863999598027e-05      -0.0141629351416023       -0.014162935141602      -0.0171112377268603     1.46444931788257e-08     1.46444931790202e-08     4.17077890764226e-74        0.400752541688979       0.0525716618597446       0.0525716618598985        0.464374806976887             0.434135159381863            0.0402883195569744     -0.00186749262995862     -0.00186749262996415      -0.0159432441339353      0.00461877657906052      0.00461877657905964     2.04684991460809e-43
        0.361056246341017         1.08316873902305                   0.0013     8.51504120377413e-09      2.1802032881288e-06        0.367646757188643         0.36764675718859        0.549478536723222          2.41745569991918e-06          4.95713028649741e-05      -0.0141629113639267      -0.0141629113639256      -0.0171112344119814     2.51274061598033e-08     2.51274061608344e-08     8.25862265054374e-69        0.400746747408533       0.0525752228258529        0.052575222825808        0.464375047818866              0.43413307921409            0.0436451528436213     -0.00186763381855619     -0.00186763381855458      -0.0159432479084909      0.00461870979848084      0.00461870979848109     1.73136036937562e-40
         0.36105248151699         1.08315744455097                   0.0014     1.46850829482954e-08     3.49103508145181e-06        0.367645860323437        0.367645860323412         0.54947813754137           3.8725271721674e-06          7.56225227891469e-05      -0.0141628771139222      -0.0141628771139217      -0.0171112296371436     4.02350812368733e-08     4.02350812376079e-08     2.88724481285376e-64        0.400740495854956       0.0525790668072969       0.0525790668072323        0.464375307822551             0.434130839321535            0.0470018601819291     -0.00186778622840094     -0.00186778622839862      -0.0159432519833518       0.0046186377477107      0.00461863774771106     5.63662223016109e-38
        0.361048439917554         1.08314531975266                   0.0015     2.38288072617333e-08     5.28637486252553e-06        0.367644632602777        0.367644632602791        0.549477591101678           5.8664750915812e-06          0.000109594473661041      -0.0141628302290162      -0.0141628302290165      -0.0171112231008627     6.09268360479325e-08     6.09268360473748e-08     2.51962645606196e-60        0.400733789645804       0.0525831929446628       0.0525831929446049        0.464375586934508             0.434128442516045            0.0503584321469229     -0.00186794982540271     -0.00186794982540063      -0.0159432563576799      0.00461856045691766      0.00461856045691799     8.54427639736805e-36
        0.361044122197929         1.08313236659379                   0.0016     3.67711295910294e-08     7.64648931386313e-06        0.367643019522473        0.367643019522599        0.549476873146472          8.48908120802932e-06          0.000152307668958972      -0.0141627686277663       -0.014162768627769      -0.0171112145129685     8.81277648481803e-08     8.81277648413297e-08     7.11685746805164e-57        0.400726631440706       0.0525876003671254       0.0525876003669895        0.464375885100767             0.434125891653449            0.0537148593708618     -0.00186812457503157     -0.00186812457502669      -0.0159432610306285      0.00461847795675433       0.0046184779567551     6.95677130361875e-34
        0.361039529119476         1.08311858735843                   0.0017     5.44095051514507e-08     1.06468372883785e-05        0.367640969955916        0.367640969955981        0.549475960921952          1.18249376833002e-05          0.000204446955891188      -0.0141626903577107      -0.0141626903577121      -0.0171112036012745     1.22707550405823e-07     1.22707550401152e-07     7.93668041536444e-54        0.400719024336864       0.0525922880489834       0.0525922880489475        0.464376202257258             0.434123190061827            0.0570711325771933     -0.00186831043661894     -0.00186831043661765      -0.0159432660011927      0.00461839028291751      0.00461839028291771     3.39382999143343e-32
        0.361034661467277         1.08310398440183                   0.0018     7.77013245051655e-08     1.43569211065046e-05        0.367638436932594        0.367638436932499        0.549474833525024          1.59521600123317e-05          0.000266568268100126       -0.014162593625095      -0.0141625936250929      -0.0171111901157243     1.65467224918778e-07     1.65467224927334e-07     4.07875483805606e-51        0.400710971524936       0.0525972549387518       0.0525972549387866         0.46437653833844             0.434120341168709            0.0604272425618874      -0.0018685073684648     -0.00186850736846605      -0.0159432712683443      0.00461829747217976      0.00461829747217956       1.080100765686e-30
