        quarkChemPot[GeV]       baryonChemPot[GeV]                   T[GeV]        pressure[GeVfm-3]        rhoB_broken[fm-3]        massU_broken[GeV]        massD_broken[GeV]        massS_broken[GeV]    energyDens_broken[GeVfm-3]      entropyDens_broken[fm-3]       sigmaU_broken[GeV]       sigmaD_broken[GeV]       sigmaS_broken[GeV]        rhoU_broken[fm-3]        rhoD_broken[fm-3]        rhoS_broken[fm-3]      rhoB_restored[fm-3]      massU_restored[GeV]      massD_restored[GeV]      massS_restored[GeV]  energyDens_restored[GeVfm-3]    entropyDens_restored[fm-3]     sigmaU_restored[GeV]     sigmaD_restored[GeV]     sigmaS_restored[GeV]      rhoU_restored[fm-3]      rhoD_restored[fm-3]      rhoS_restored[fm-3]
        0.342979287504011         1.02893786251203                        0      2.5811858346808e-09                        0        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09                             0      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975                        0                        0                        0        0.348679538896679       0.0365169464026128       0.0365169464025538        0.389697154216869              0.35876957690099                             0     -0.00126265891083318     -0.00126265891083113      -0.0137161108067672      0.00401862176860073      0.00401862176860096                        0
        0.342964735395729         1.02889420618719                    0.001       2.581185383136e-09     2.96848892788322e-30        0.402731181383958        0.402731181383958        0.569096385285579           -2.581185383136e-09          5.45647661697275e-28      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     3.42126018153811e-32     3.42126018153772e-32     3.2163408735885e-104        0.348662548834487       0.0365226073915237       0.0365226073915069         0.38969772579378             0.358767317556642            0.0304445834465345     -0.00126289242816465     -0.00126289242816406      -0.0137161212914542       0.0040184259537446      0.00401842595374466     1.48997956872856e-26
        0.342964441915931         1.02889332574779                  0.00101     2.58118493159121e-09     5.44382207514872e-30        0.402731181383957        0.402731181383957         0.56909638528558         -2.58118493159121e-09          9.90988150152742e-28      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     6.27414558502815e-32     6.27414558502815e-32    3.06256954097106e-103        0.348662203724282       0.0365227229785596       0.0365227229785587        0.389697737526444             0.358767268260425             0.030748999577703     -0.00126289718829156     -0.00126289718829153      -0.0137161215066714      0.00401842197626036      0.00401842197626036     2.40160348164391e-26
        0.342964146489383         1.02889243946815                  0.00102     2.58118673777039e-09     9.86668184603908e-30        0.402731181383958        0.402731181383958         0.56909638528558         -2.58118673777039e-09          1.77895886651046e-27      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     1.13716057374101e-31     1.13716057374111e-31    2.79049899196774e-102        0.348661858765674       0.0365228379429855       0.0365228379429851        0.389697749135407             0.358767222316634            0.0310534150167994     -0.00126290193047492     -0.00126290193047491      -0.0137161217196195      0.00401841800052328      0.00401841800052328     3.83548285152171e-26
        0.342963848152125         1.02889154445637                  0.00103     2.58118628622559e-09     1.76800952552856e-29        0.402731181383957        0.402731181383957        0.569096385285579         -2.58118628622559e-09          3.15755824315426e-27      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     2.03767665543693e-31     2.03767665543693e-31    2.43616056143597e-101        0.348661510408408       0.0365229540407576       0.0365229540407525        0.389697760858852             0.358767175919548            0.0313578295662406      -0.0012629067194076     -0.00126290671940742      -0.0137161219346676      0.00401841398561578       0.0040184139856158     6.07088471453522e-26
        0.342963546904409         1.02889064071323                  0.00104      2.5811858346808e-09     3.13318941281005e-29        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          5.54327399900017e-27      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     3.61108174552198e-31     3.61108174552198e-31    2.04029612405757e-100        0.348661158653332        0.036523071271701       0.0365230712717009        0.389697772696771             0.358767129070013            0.0316622432172863     -0.00126291155508266     -0.00126291155508266      -0.0137161221518156      0.00401840993154766      0.00401840993154766     9.52595770278579e-26
        0.342963242746136         1.02888972823841                  0.00105      2.5811858346808e-09     5.49305773960796e-29        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          9.62824073056088e-27      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975      6.3308909603414e-31      6.3308909603414e-31     1.64118868914928e-99        0.348660803500107       0.0365231896359492       0.0365231896359553        0.389697784649176             0.358767081767664            0.0319666559613104     -0.00126291643750525     -0.00126291643750546      -0.0137161223710635      0.00401840583831501      0.00401840583831498     1.48216761713123e-25
        0.342962935677068          1.0288888070312                  0.00106      2.5811858346808e-09     9.53013114314789e-29        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          1.65509957475428e-26      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     1.09837223574004e-30     1.09837223574004e-30     1.26939616678248e-98        0.348660444947979       0.0365233091336392       0.0365233091336379        0.389697796716079             0.358767034011709            0.0322710677894408     -0.00126292136668114      -0.0012629213666811      -0.0137161225924118      0.00401840170590908      0.00401840170590908     2.28729009221809e-25
        0.342962625697009         1.02888787709103                  0.00107      2.5811858346808e-09     1.63669445164738e-28        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          2.81659230147512e-26      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     1.88633264020903e-30     1.88633264020903e-30      9.4511801616886e-98        0.348660082996304       0.0365234297649006       0.0365234297649023        0.389697808897499             0.358766985801464            0.0325754786929462      -0.0012629263426157     -0.00126292634261576      -0.0137161228158607      0.00401839753432251      0.00401839753432251     3.50170722942719e-25
        0.342962312807195         1.02888693842158                  0.00108      2.5811858346808e-09     2.78318771319124e-28        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          4.74643937634105e-26      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     3.20769574427106e-30     3.20769574427106e-30     6.78085220917145e-97        0.348659717649145        0.036523551529043       0.0365235515290411         0.38969782119337             0.358766937141089            0.0328798886633935     -0.00126293136528036      -0.0012629313652803       -0.013716123041409      0.00401839332360211      0.00401839332360212     5.31947535068774e-25
        0.342961997006199          1.0288859910186                  0.00109      2.5811858346808e-09     4.68749916491615e-28        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          7.92269505620004e-26      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     5.40246389106652e-30     5.40246389106652e-30     4.69282367737001e-96        0.348659348901833       0.0365236744269158       0.0365236744269144         0.38969783360377             0.358766888025768            0.0331842976917264     -0.00126293643471017     -0.00126293643471013      -0.0137161232690581      0.00401838907369408      0.00401838907369408     8.02011095732438e-25
        0.342961678294858         1.02888503488457                   0.0011      2.5811858346808e-09     7.82126710843817e-28        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          1.31024257443137e-25      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     9.01421240818063e-30     9.01421240818063e-30     3.13589984937972e-95        0.348658976757127        0.036523798458024       0.0365237984580286         0.38969784612866             0.358766838458316            0.0334887057694154     -0.00126294155088489     -0.00126294155088505      -0.0137161234988074      0.00401838478463021      0.00401838478463019     1.20033768546175e-24
        0.342961356672742         1.02888407001823                  0.00111      2.5811858346808e-09     1.29318172255434e-27        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          2.14739972161869e-25      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     1.49042534513432e-29     1.49042534513432e-29      2.0252518479969e-94        0.348658601213628       0.0365239236226558       0.0365239236226479        0.389697858768062              0.35876678843728            0.0337931128876851     -0.00126294671381626     -0.00126294671381599      -0.0137161237306572      0.00401838045639433      0.00401838045639436     1.78370767414118e-24
        0.342961032140253         1.02888309642076                  0.00112      2.5811858346808e-09     2.11930734481011e-27        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          3.48868110441094e-25      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     2.44255646808494e-29     2.44255646808494e-29     1.26526368986218e-93        0.348658222272641       0.0365240499206178       0.0365240499206228        0.389697871521969             0.358766737963971            0.0340975190378565     -0.00126295192349619     -0.00126295192349636      -0.0137161239646074      0.00401837608900158      0.00401837608900156     2.63222936901105e-24
         0.34296070469699         1.02888211409097                  0.00113      2.5811858346808e-09     3.44335636106457e-27        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          5.61950314783407e-25      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975      3.9685571666781e-29      3.9685571666781e-29     7.65332998302128e-93        0.348657839932896       0.0365241773521087       0.0365241773521058         0.38969788439039             0.358766687037082            0.0344019242111105     -0.00126295717993319     -0.00126295717993309      -0.0137161242006581      0.00401837168243723      0.00401837168243724     3.85818731088618e-24
        0.342960374342912         1.02888112302874                  0.00114      2.5811858346808e-09     5.54781254687524e-27        0.402731181383957        0.402731181383957        0.569096385285579          -2.5811858346808e-09          8.97677534699086e-25      -0.0139500737621886      -0.0139500737621886      -0.0161994910196975     6.39399729033028e-29     6.39399729033028e-29      4.4859667124855e-92        0.348657454194231       0.0365243059172477       0.0365243059172471        0.389697897373346             0.358766635656412            0.0347063283987771     -0.00126296248313172      -0.0012629624831317      -0.0137161244388099      0.00401836723669946      0.00401836723669946     5.61796906989431e-24
