                   T[GeV]                  tauU[fm]                  tauD[fm]                  tauS[fm]               tauUBar[fm]               tauDBar[fm]               tauSBar[fm]                effMU[GeV]                effMD[GeV]                effMS[GeV]               effCPU[GeV]               effCPD[GeV]               effCPS[GeV]
        0.120000000000000        31.971852376094485        31.971852376094489        38.330113517164548        31.971852376094485        31.971852376094485        38.330113517164563         0.344727991767736         0.344727991767736         0.536629920733286         0.000000000000000         0.000000000000000         0.000000000000000
        0.121000000000000        30.830155189422317        30.830155189422875        36.882398797620368        30.830155189422317        30.830155189422879        36.882398797620368         0.343795051483527         0.343795051483537         0.536088839842219         0.000000000000000         0.000000000000000         0.000000000000000
        0.122000000000000        29.745591148296988        29.745591148295610        35.509622653019221        29.745591148296988        29.745591148295610        35.509622653019214         0.342835955221808         0.342835955221782         0.535532306189432         0.000000000000000         0.000000000000000         0.000000000000000
        0.123000000000000        28.714563258615900        28.714563258612610        34.206962293735380        28.714563258615897        28.714563258612610        34.206962293735387         0.341850265148218         0.341850265148152         0.534960097253699         0.000000000000000         0.000000000000000         0.000000000000000
        0.124000000000000        27.733646772190887        27.733646772191921        32.969981459404039        27.733646772190887        27.733646772191921        32.969981459404039         0.340837529733164         0.340837529733186         0.534371987871091         0.000000000000000         0.000000000000000         0.000000000000000
        0.125000000000000        26.799855516397610        26.799855516394810        31.794543455126448        26.799855516397610        26.799855516394810        31.794543455126444         0.339797289331677         0.339797289331615         0.533767752475648         0.000000000000000         0.000000000000000         0.000000000000000
        0.126000000000000        25.910318594926004        25.910318594925055        30.676842019064157        25.910318594926007        25.910318594925052        30.676842019064157         0.338729075738329         0.338729075738307         0.533147165055334         0.000000000000000         0.000000000000000         0.000000000000000
        0.127000000000000        25.062155295582180        25.062155295584123        29.613339315652205        25.062155295582173        25.062155295584123        29.613339315652205         0.337632411728237         0.337632411728284         0.532509999110120         0.000000000000000         0.000000000000000         0.000000000000000
        0.128000000000000        24.253614207762510        24.253614207763476        28.600673994523017        24.253614207762503        24.253614207763476        28.600673994523021         0.336506810576786         0.336506810576811         0.531856027610983         0.000000000000000         0.000000000000000         0.000000000000000
        0.129000000000000        23.481699839920179        23.481699839920179        27.635835879166802        23.481699839920182        23.481699839920179        27.635835879166802         0.335351761278277         0.335351761278277         0.531185017655580         0.000000000000000         0.000000000000000         0.000000000000000
        0.130000000000000        22.744516074890800        22.744516074890818        26.715946528048441        22.744516074890800        22.744516074890814        26.715946528048441         0.334166783789209         0.334166783789209         0.530496751164170         0.000000000000000         0.000000000000000         0.000000000000000
        0.131000000000000        22.040083693378861        22.040083693378861        25.838449449827966        22.040083693378861        22.040083693378861        25.838449449827966         0.332951346826023         0.332951346826023         0.529790994461132         0.000000000000000         0.000000000000000         0.000000000000000
        0.132000000000000        21.366609030566874        21.366609030566874        25.000859296939289        21.366609030566874        21.366609030566877        25.000859296939296         0.331704920520940         0.331704920520940         0.529067518061454         0.000000000000000         0.000000000000000         0.000000000000000
        0.133000000000000        20.722261114594122        20.722261114594122        24.200864753545034        20.722261114594119        20.722261114594122        24.200864753545034         0.330426962839102         0.330426962839102         0.528326091802936         0.000000000000000         0.000000000000000         0.000000000000000
        0.134000000000000        20.105553299025818        20.105553299025825        23.436343252475837        20.105553299025814        20.105553299025825        23.436343252475837         0.329116918983539         0.329116918983539         0.527566484831719         0.000000000000000         0.000000000000000         0.000000000000000
        0.135000000000000        19.514807916370874        19.514807916370874        22.705294591576187        19.514807916370877        19.514807916370877        22.705294591576187         0.327774220777900         0.327774220777900         0.526788465594838         0.000000000000000         0.000000000000000         0.000000000000000
        0.136000000000000        18.948628071091356        18.948628071091356        22.005867709528850        18.948628071091356        18.948628071091360        22.005867709528850         0.326398286026195         0.326398286026195         0.525991801840837         0.000000000000000         0.000000000000000         0.000000000000000
        0.137000000000000        18.405838612328811        18.405838612328800        21.336330805100840        18.405838612328811        18.405838612328800        21.336330805100840         0.324988517848819         0.324988517848819         0.525176260629565         0.000000000000000         0.000000000000000         0.000000000000000
        0.138000000000000        17.885202516731535        17.885202516731539        20.695048715066260        17.885202516731539        17.885202516731535        20.695048715066260         0.323544303994177         0.323544303994177         0.524341608352435         0.000000000000000         0.000000000000000         0.000000000000000
        0.139000000000000        17.385325548341573        17.385325548341573        20.080507262549801        17.385325548341569        17.385325548341573        20.080507262549805         0.322065016125288         0.322065016125288         0.523487610764529         0.000000000000000         0.000000000000000         0.000000000000000
        0.140000000000000        16.905317753469234        16.905317753469234        19.491278710555509        16.905317753469234        16.905317753469234        19.491278710555513         0.320550009080834         0.320550009080834         0.522614033030146         0.000000000000000         0.000000000000000         0.000000000000000
        0.141000000000000        16.444152939156066        16.444152939156076        18.926030180978831        16.444152939156066        16.444152939156073        18.926030180978831         0.318998620110208         0.318998620110208         0.521720639783538         0.000000000000000         0.000000000000000         0.000000000000000
        0.142000000000000        16.000858683304713        16.000858683304724        18.383541491548723        16.000858683304717        16.000858683304720        18.383541491548723         0.317410168082292         0.317410168082292         0.520807195206801         0.000000000000000         0.000000000000000         0.000000000000000
        0.143000000000000        15.574456618586614        15.574456618586614        17.862587760501466        15.574456618586614        15.574456618586614        17.862587760501462         0.315783952667850         0.315783952667850         0.519873463127142         0.000000000000000         0.000000000000000         0.000000000000000
        0.144000000000000        15.164146092372418        15.164146092372418        17.362075280243985        15.164146092372418        15.164146092372418        17.362075280243989         0.314119253495651         0.314119253495651         0.518919207135987         0.000000000000000         0.000000000000000         0.000000000000000
        0.145000000000000        14.769084757115074        14.769084757115074        16.880984948101709        14.769084757115074        14.769084757115076        16.880984948101716         0.312415329282733         0.312415329282733         0.517944190732713         0.000000000000000         0.000000000000000         0.000000000000000
        0.146000000000000        14.388595862561107        14.388595862561107        16.418337626531983        14.388595862561107        14.388595862561107        16.418337626531986         0.310671416939571         0.310671416939571         0.516948177496138         0.000000000000000         0.000000000000000         0.000000000000000
        0.147000000000000        14.021896697975901        14.021896697975908        15.973192777624202        14.021896697975901        14.021896697975906        15.973192777624206         0.308886730651320         0.308886730651320         0.515930931287286         0.000000000000000         0.000000000000000         0.000000000000000
        0.148000000000000        13.668342045295498        13.668342045295496        15.544775512899415        13.668342045295498        13.668342045295494        15.544775512899419         0.307060460936863         0.307060460936862         0.514892216487387         0.000000000000000         0.000000000000000         0.000000000000000
        0.149000000000000        13.327276182842468        13.327276182842462        15.132180983851171        13.327276182842466        13.327276182842462        15.132180983851173         0.305191773688015         0.305191773688015         0.513831798275590         0.000000000000000         0.000000000000000         0.000000000000000
        0.150000000000000        12.998102702327710        12.998102702327699        14.734675336401150        12.998102702327706        12.998102702327703        14.734675336401146         0.303279809192057         0.303279809192057         0.512749442951416         0.000000000000000         0.000000000000000         0.000000000000000
        0.151000000000000        12.680250899288582        12.680250899288582        14.351537780439614        12.680250899288584        12.680250899288584        14.351537780439612         0.301323681141653         0.301323681141653         0.511644918307654         0.000000000000000         0.000000000000000         0.000000000000000
        0.152000000000000        12.373178113027457        12.373178113027457        13.982110491606489        12.373178113027457        12.373178113027453        13.982110491606488         0.299322475637435         0.299322475637436         0.510517994060121         0.000000000000000         0.000000000000000         0.000000000000000
        0.153000000000000        12.076365564633686        12.076365564633722        13.625671698091869        12.076365564633686        12.076365564633722        13.625671698091869         0.297275250189873         0.297275250189874         0.509368442341547         0.000000000000000         0.000000000000000         0.000000000000000
        0.154000000000000        11.789315919655300        11.789315919655300        13.281694793166521        11.789315919655300        11.789315919655298        13.281694793166519         0.295181032728752         0.295181032728752         0.508196038267809         0.000000000000000         0.000000000000000         0.000000000000000
        0.155000000000000        11.511586954382990        11.511586954382990        12.949577828897596        11.511586954382986        11.511586954382986        12.949577828897594         0.293038820630574         0.293038820630575         0.507000560585815         0.000000000000000         0.000000000000000         0.000000000000000
        0.156000000000000        11.242664678873654        11.242664678873654        12.628817453016067        11.242664678873654        11.242664678873656        12.628817453016067         0.290847579776631         0.290847579776632         0.505781792413546         0.000000000000000         0.000000000000000         0.000000000000000
        0.157000000000000        10.982288194575517        10.982288194575517        12.318785304246122        10.982288194575515        10.982288194575515        12.318785304246122         0.288606243657474         0.288606243657475         0.504539522084220         0.000000000000000         0.000000000000000         0.000000000000000
        0.158000000000000        10.729914802818540        10.729914802818541        12.019090697724756        10.729914802818541        10.729914802818540        12.019090697724756         0.286313712542841         0.286313712542840         0.503273544108036         0.000000000000000         0.000000000000000         0.000000000000000
        0.159000000000000        10.485117655878664        10.485117655878664        11.729271539168733        10.485117655878662        10.485117655878664        11.729271539168733         0.283968852740596         0.283968852740596         0.501983660266867         0.000000000000000         0.000000000000000         0.000000000000000
        0.160000000000000        10.247615492865359        10.247615492865380        11.448868642367270        10.247615492865361        10.247615492865380        11.448868642367270         0.281570495972892         0.281570495972893         0.500669680859214         0.000000000000000         0.000000000000000         0.000000000000000
        0.161000000000000        10.017023123519994        10.017023123519994        11.177466132912082        10.017023123519996        10.017023123519996        11.177466132912082         0.279117438904260         0.279117438904259         0.499331426115113         0.000000000000000         0.000000000000000         0.000000000000000
