                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                    0.205       0.0044816892948668       0.0044816892948668      0.00248392171650786       0.0044816892948668       0.0044816892948668      0.00248392171650786         2.40179016545371        0.109004327031318        0.109004327031318        0.423574889837865                        0                        0                        0
                   0.2051      0.00449017475577256      0.00449017475577249      0.00248986366019218      0.00449017475577256      0.00449017475577249      0.00248986366019218         2.39894307311365        0.108594945655141        0.108594945655158        0.423425247048249                        0                        0                        0
                   0.2052      0.00449865786078993      0.00449865786078993      0.00249581159492505      0.00449865786078993      0.00449865786078993      0.00249581159492505         2.39609906890471        0.108187006302432        0.108187006302432        0.423276082651978                        0                        0                        0
                   0.2053      0.00450713858807118       0.0045071385880712      0.00250176551535849      0.00450713858807118       0.0045071385880712      0.00250176551535849         2.39325814644716        0.107780519913362        0.107780519913356        0.423127396121468                        0                        0                        0
                   0.2054      0.00451561692319324       0.0045156169231933      0.00250772541662546      0.00451561692319324       0.0045156169231933      0.00250772541662546         2.39042033030794        0.107375495790445        0.107375495790432        0.422979186857852                        0                        0                        0
                   0.2055      0.00452409285336163      0.00452409285336168       0.0025136912943134      0.00452409285336163      0.00452409285336168       0.0025136912943134         2.38758561445066        0.106971942987504        0.106971942987492        0.422831454195553                        0                        0                        0
                   0.2056      0.00453256636740325      0.00453256636740335      0.00251966314446188      0.00453256636740325      0.00453256636740335      0.00251966314446188         2.38475400071328        0.106569870307605         0.10656987030758        0.422684197403119                        0                        0                        0
                   0.2057      0.00454103745575299      0.00454103745575297      0.00252564096356051      0.00454103745575299      0.00454103745575297      0.00252564096356051         2.38192549338186        0.106169286302481        0.106169286302487        0.422537415684026                        0                        0                        0
                   0.2058      0.00454950611044181      0.00454950611044179      0.00253162474854595      0.00454950611044181      0.00454950611044179      0.00253162474854595          2.3791000960438        0.105770199271541        0.105770199271547        0.422391108177582                        0                        0                        0
                   0.2059       0.0045579723250923      0.00455797232509228      0.00253761449680148       0.0045579723250923      0.00455797232509228      0.00253761449680148          2.3762778130151        0.105372617259015        0.105372617259021        0.422245273959466                        0                        0                        0
                    0.206      0.00456643609486906      0.00456643609486909       0.0025436102061448      0.00456643609486906      0.00456643609486909       0.0025436102061448         2.37345864575614        0.104976548062153        0.104976548062146        0.422099912044026                        0                        0                        0
                   0.2061      0.00457489741651274      0.00457489741651274       0.0025496118748378      0.00457489741651274      0.00457489741651274       0.0025496118748378         2.37064259866846        0.104581999218886        0.104581999218885        0.421955021383234                        0                        0                        0
                   0.2062      0.00458335628829218      0.00458335628829215      0.00255561950157484      0.00458335628829218      0.00458335628829215      0.00255561950157484          2.3678296743052        0.104188978015544        0.104188978015551        0.421810600868905                        0                        0                        0
                   0.2063      0.00459181270999967       0.0045918127099996      0.00256163308548069      0.00459181270999967       0.0045918127099996      0.00256163308548069         2.36501987551704        0.103797491483977        0.103797491483995        0.421666649333426                        0                        0                        0
                   0.2064      0.00460026668292741      0.00460026668292741      0.00256765262610694      0.00460026668292741      0.00460026668292741      0.00256765262610694          2.3622132053859        0.103407546403299        0.103407546403301        0.421523165550732                        0                        0                        0
                   0.2065      0.00460871820985591      0.00460871820985591       0.0025736781234278      0.00460871820985591      0.00460871820985591       0.0025736781234278         2.35940966869281        0.103019149298656        0.103019149298656        0.421380148237341                        0                        0                        0
                   0.2066      0.00461716729503675      0.00461716729503672      0.00257970957783588      0.00461716729503675      0.00461716729503672      0.00257970957783588         2.35660925597607        0.102632306441392        0.102632306441399        0.421237596053393                        0                        0                        0
                   0.2067      0.00462561394416369       0.0046256139441638      0.00258574699013795      0.00462561394416369       0.0046256139441638      0.00258574699013795         2.35381198661695        0.102247023852099        0.102247023852069        0.421095507603687                        0                        0                        0
                   0.2068         0.00463405816437      0.00463405816436993      0.00259179036155019         0.00463405816437      0.00463405816436993      0.00259179036155019         2.35101786170845        0.101863307297149        0.101863307297167        0.420953881438777                        0                        0                        0
                   0.2069      0.00464249996419521      0.00464249996419523       0.0025978396936935      0.00464249996419521      0.00464249996419523       0.0025978396936935         2.34822688042225        0.101481162292853        0.101481162292848        0.420812716056056                        0                        0                        0
                    0.207       0.0046509393535669      0.00465093935356692      0.00260389498858871       0.0046509393535669      0.00465093935356692      0.00260389498858871         2.34543904467238         0.10110059410586        0.101100594105855        0.420672009900848                        0                        0                        0
                   0.2071      0.00465937634379171      0.00465937634379169      0.00260995624865149      0.00465937634379171      0.00465937634379169      0.00260995624865149          2.3426543568311        0.100721607751267        0.100721607751271        0.420531761367521                        0                        0                        0
                   0.2072      0.00466781094751769      0.00466781094751765       0.0026160234766874      0.00466781094751769      0.00466781094751765       0.0026160234766874         2.33987281961682        0.100344207997927        0.100344207997937        0.420391968800586                        0                        0                        0
