               rhoB[fm-3]               rhoU[fm-3]               rhoD[fm-3]               rhoS[fm-3]               rhoE[fm-3]               massU[MeV]               massD[MeV]               massS[MeV]         effChemPotU[MeV]         effChemPotD[MeV]         effChemPotS[MeV]            chemPotU[MeV]            chemPotD[MeV]            chemPotS[MeV]       baryonChemPot[MeV]            chemPotE[MeV]        pressure[MeVfm-3]   energyDensity[MeVfm-3]  entropyDensity[MeVfm-3]
                        0                        0                        0                        0                        0         367.648251906752         367.648251906748         549.479201422997                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
                    1e-05     1.00005637456705e-05     1.99999994752524e-05                        0                        0         367.642207109447         367.640525643204         549.476137360106         367.755290879171         367.820012802724         367.820012802724         367.756068213597          367.82079013715          367.82079013715          1103.3976484879       0.0647219235529461     2.12533104399325e-07        0.011033971079126                        0
     0.000710138027605521     0.000710140267824454      0.00142027309018074                        0     2.96558654135025e-09         367.220309793007         367.101575328055         549.262411617294         369.156888702918         370.171954662657         370.171954662657         369.212089126498         370.227155086237         370.227155086237         1109.66639929897         1.01506595973916       0.0018094235262223        0.786206616962309                        0
      0.00141027605521104      0.00141024050746258      0.00282055621390193                        0     1.38610897258808e-08         366.799573996695         366.564522315929         549.049569375192         369.858032200097         371.410938313238         371.410938313238         369.967654980015         371.520561093156         371.520561093156         1113.00877716633         1.55290611314135      0.00527848410745787         1.56435953810434                        0
      0.00211041408281656      0.00211043687751736      0.00422080954983534                        0     3.10282846562029e-08         366.379531670676          366.02867682587         548.837352013608         370.380468025659         372.365645971869         372.365645971869         370.544514940025         372.529692886235         372.529692886235          1115.6039007125            1.98517794621      0.00983148751678487          2.3445562685028                        0
      0.00281055211042208      0.00281059177969477      0.00562105097925804                        0     5.36689398109397e-08         365.959990222158         365.493754378209         548.625652830543          370.80294243544         373.161645009618         373.161645009618         371.021412189767         373.380114763944         373.380114763944         1117.78164171765         2.35870257417736       0.0151626740052549         3.12641584350405                        0
      0.00351069013802761      0.00351077314884151       0.0070213044479509                        0     8.12386117818866e-08         365.540831779558         364.959581453555         548.414406482883         371.158434793421         373.851279427607         373.851279427607         371.431328503268         374.124173137454         374.124173137454         1119.67967477818         2.69284463418612       0.0211569443010501         3.90969413014567                        0
      0.00421082816563313      0.00421094287630859      0.00842154684393841                        0     1.13330283936547e-07         365.121973375586         364.426036006523         548.203567220248         371.464591207418         374.462675342226         374.462675342226         371.791908431423         374.789992566231         374.789992566231         1121.37189356389         2.99808413480834       0.0276788145168288         4.69422749257002                        0
      0.00491096619323865       0.0049111168866414      0.00982178560738297                        0     1.49617185013584e-07         364.703352790115         363.893026705801         547.993100670483         371.732319190108         375.013171132366         375.013171132366         372.114060121662          375.39491206392          375.39491206392          1122.9038842495         3.28085194225869       0.0346571205632924         5.47988735912271                        0
      0.00561110422084417      0.00561129489639946       0.0112220207651532                        0     1.89830550738182e-07         364.284920638537         363.360481205918          547.78297966456         371.968918937412         375.514388519562         375.514388519562         372.405083792609         375.950553374759         375.950553374759         1124.30619054213          3.5454695821493       0.0420274200705632         6.26657291568796                        0
      0.00631124224844969      0.00631147596604048       0.0126222511244618                        0      2.3374353237473e-07         363.866636393929         362.828340302944         547.573182002313         372.179582652815         375.974594814831         375.974594814831          372.67017162185         376.465183783866         376.465183783866         1125.60053918958         3.79501216201628         0.04973621100442         7.05420159684265                        0
      0.00701138027605521      0.00701166145253473       0.0140224800036982                        0     2.81161652245287e-07         363.448466237341         362.296554644122         547.363689168577         372.368170594649          376.39993721848          376.39993721848         372.913184018213         376.944950642043         376.944950642043          1126.8030853023         4.03176662383053        0.057741911360803         7.84270325261359                        0
      0.00771151830366073      0.00771185025034898       0.0154227052041335                        0        3.31915564296e-07         363.030380944034         361.765081791489         547.154485306217         372.537647089092         376.795136598167         376.795136598167         373.137085251609         377.394574760683         377.394574760683         1127.92623477298         4.25748950907445       0.0660055575849955          8.6320184520285                        0
      0.00841165633126625      0.00841204222665748       0.0168229272384816                        0     3.85856731084856e-07         362.612355181724         361.233885031453         546.945556709107         372.690352414041         377.163920792135         377.163920792135         373.344215639129         377.817784017223         377.817784017223         1128.97978367358         4.47356837809371       0.0744949884938673         9.42209513462426                        0
      0.00911179435887177      0.00911223725395898       0.0182231462331182                        0     4.42853605011505e-07         362.194366607359         360.702932093859         546.736891358897         372.828174057794         377.509296486827         377.509296486827         373.536462698392         378.217585127425         378.217585127425         1129.97163295324          4.6811224290329       0.0831818747671575         10.2128874311108                        0
       0.0098119323864773      0.00981243521715539       0.0196233623014601                        0     5.02788942664788e-07         361.776395309564         360.172194319962         546.528478609657         372.952661998372         377.833732946511         377.833732946511         373.715376436726         378.596447384864         378.596447384864         1130.90827120645         4.88107094813861       0.0920411418142428         11.0043544863527                        0
       0.0105120704140828       0.0105126360123509       0.0210235755457722                        0     5.65557671978375e-07         361.358423380971          359.64164602918         546.320308948927         373.065108540442         378.139289106386         378.139289106386           373.8822491881         378.956429754044         378.956429754044         1131.79510869619         5.07418056594389        0.101050402115839         11.7964595943097                        0
       0.0112122084416883        0.011212814965192       0.0224237289803758                        0     6.31060564477382e-07         360.940443036045         359.111274348932          546.11237713321         373.166595836817         378.427682050902         378.427682050902         374.038161018667         379.299247232752         379.299247232752         1132.63665548417         5.26108621408494        0.110171293400659         12.5891562384934                        0
       0.0119123464692939       0.0119130235541096       0.0238239424363478                        0      6.9922166491991e-07         360.522422019244         358.581036880693         545.904668539136         373.258076613691         378.700444922328         378.700444922328         374.184069122998         379.626437431635         379.626437431635         1133.43694398627         5.44236830863676        0.119424362982418          13.382441464161                        0
       0.0126124844968994       0.0126132341850967       0.0252241521395666                        0     7.69958486518672e-07         360.104355783827         358.050925429722         545.697179673796         373.340343909458         378.958833575489         378.958833575489         374.320764201279          379.93925386731          379.93925386731          1134.1992719359         5.61848966603057        0.128771861750634         14.1762734668105                        0
       0.0133126225245049       0.0133134469232856       0.0266243584496209                        0     8.43200566040683e-07         359.686231760115         357.520922264214         545.489904060775         373.414097718472         379.203963619961         379.203963619961         374.448946288215         380.238812189704         380.238812189704         1134.92657066762         5.78986590148894         0.13819876536016         14.9706267207425                        0
       0.0140127605521104       0.0140136618029619       0.0280245616448348                        0     9.18883698245926e-07         359.268038290204         356.991011008808         545.282835743895          373.47995181252         379.436813321205         379.436813321205         374.569229193035         380.526090701719         380.526090701719         1135.62141059647         5.95686150868474        0.147691233862992         15.7654776258457                        0
       0.0147128985797159       0.0147138788373493       0.0294247619410252                        0     9.96949275117313e-07         358.849764514068         356.461176480906         545.075969225425         373.538448075499         379.658246434046         379.658246434046         374.682154834913          380.80195319346          380.80195319346         1136.28606122183         6.11979835854715        0.157236477267245          16.560804272014                        0
       0.0154130366073215       0.0154140980264841       0.0308249595091954                        0     1.07734372013456e-06         358.431400275809         355.931404548843         544.869299411999         373.590067893608         379.869030341513         379.869030341513         374.788204633822         381.067167081727         381.067167081727         1136.92253879728         6.27896244790505        0.166822638113433         17.3565862474606                        0
        0.016113174634927       0.0161143193620392       0.0322251544879517                        0     1.16001800378561e-06         358.012936044723         355.401682016357         544.662821570552         373.635241309506         380.069850637588         380.069850637588         374.887808665137         381.322417993218         381.322417993218         1137.53264465157         6.43460932808149        0.176438695318626         18.1528044722598                        0
       0.0168133126625325       0.0168145428292947       0.0336253469893276                        0     1.24492722261945e-06         357.594362845094         354.871996518389         544.456531289176          373.67435445344         380.261322964615         380.261322964615         374.981353090964         381.568321602138         381.568321602138         1138.11799629524         6.58696851117452        0.186074371719889          18.949441064319                        0
        0.017513450690138       0.0175147684103261       0.0350255371064879                        0     1.33203023326582e-06         357.175672201282         354.342336437895         544.250424445425         373.707755642677         380.444002727302         380.444002727302         375.069186259857         381.805433344482         381.805433344482         1138.68005294882           6.736247084625        0.195720065955703          19.746479215185                        0
       0.0182135887177436       0.0182149960855748       0.0364257249175373                        0     1.42128933295322e-06         356.756856085844         353.812690831688         544.044497177715         373.735760421644         380.618393124328         380.618393124328         375.151623747098         382.034256449782         382.034256449782         1139.22013664666         6.88263270268402        0.205366786026449         20.5439030887517                        0
       0.0189137267453491       0.0189152258349517       0.0378259104895922                        0     1.51266997753692e-06         356.337906877256         353.283049366504         543.838745861353           373.7586557665         380.784951845559         380.784951845559         375.228952559396         382.255248638455         382.255248638455         1139.73944983631         7.02629607905897         0.21500609494219         21.3416977301728                        0
       0.0196138647729546       0.0196154576374128       0.0392260938783506                        0     1.60614053080364e-06         355.918817321421         352.753402260376          543.63316708606         373.776703613993         380.944096692359         380.944096692359         375.301434663731         382.468827742097         382.468827742097         1140.23909014792         7.16739307836611         0.22463005615309         22.1398489911496                        0
       0.0203140028005601       0.0203156914721102       0.0406262751319359                        0     1.70167204469157e-06         355.499580499299         352.223740236222         543.427757638592         373.790143847408         381.096210336334         381.096210336334         375.369309973426         382.675376462352         382.675376462352         1140.72006289813         7.30606648892623        0.234231195225784         22.9383434571992                        0
       0.0210141408281656       0.0210159273193764       0.0420264542923022                        0     1.79923806221181e-06         355.080189797384         351.694054478606         543.222514485873         373.799196836045         381.241644365128         381.241644365128         375.432798887689         382.875246416772         382.875246416772         1141.18329172123         7.44244752908363        0.243802460976893         23.7371683876807                        0
       0.0217142788557712       0.0217161651608272       0.0434266313966379                        0     1.89881444113564e-06         354.660638881519         351.164336594755         543.017434759629          373.80406560782         381.380722744012         381.380722744012          375.49210446425         383.068761600442         383.068761600442         1141.62962766513         7.57665713619249        0.253337189688603         24.5363116636986                        0
       0.0224144168833767       0.0224164049779434       0.0448268064756589                        0     2.00037919391244e-06         354.240921675241         350.634578579474         542.812515744615         373.804937719125         381.513744792376         381.513744792376         375.547414289143         383.256221362395         383.256221362395         1142.05985701393         7.70880707325111         0.26282907502788          25.335761738238                        0
       0.0231145549109822       0.0231166467542798       0.0462269795575254                        0       2.103912348267e-06         353.821032337809         350.104772787431         542.607754866198         373.801986871135         381.640987763132         381.640987763132         375.598902093172          383.43790298517          383.43790298517         1142.47470806351         7.83900089199713        0.272272142449862         26.1355075939798                        0
       0.0238146929385877        0.023816890474068       0.0476271506663494                        0     2.20939581598197e-06          353.40096524699         349.574911903448         542.403149680018          373.79537431434         381.762709076917         381.762709076917         375.646729156366         383.614063918942         383.614063918942         1142.87485699425         7.96733476257616        0.281660722672653         26.9355387055811                        0
       0.0245148309661932       0.0245171361228818       0.0490273198229113                        0     2.31681327765874e-06         352.980714982919         349.044988920385         542.198697863422         373.785250074549         381.879148276639         381.879148276639         375.691045534016         383.784943736106         383.784943736106         1143.26093300623         8.09389820208989        0.290989432752346         27.7358450025715                        0
       0.0252149689937988       0.0252173836876781       0.0504274870459176                        0     2.42615007748752e-06         352.560276311813          348.51499711573          541.99439720617         373.771754025136         381.990528737128         381.990528737128         375.731991128964         383.950765840955         383.950765840955         1143.63352281087         8.21877471199151        0.300253153708693         28.5364168410211                        0
       0.0259151070214043       0.0259176331563927       0.0518276523513212                        0     2.53739312598253e-06         352.139644173728         347.984930031643         541.790245603101         373.755016832234         382.097059169209         382.097059169209         375.769696636759         384.111738973734         384.111738973734         1143.99317458423         8.34204233697539        0.309447013108351         29.3372449742447                        0
       0.0266152450490098       0.0266178845180568        0.053227815752728                        0      2.6505308131928e-06         351.718813670674         347.454781458285          541.58624104769         373.735160788706         382.198934949249         382.198934949249         375.804284379647         384.268058540189         384.268058540189         1144.34040146002         8.46377416054256        0.318566370501143         30.1383205256373                        0
       0.0273153830766153       0.0273181377631621       0.0546279772622875                        0     2.76555292875573e-06         351.297780054462         346.924545416262          541.38238162509         373.712300551794         382.296339294983         382.296339294983          375.83586904425         384.419907787439         384.419907787439         1144.67568461913         8.58403874318897        0.327606800752251         30.9396349675319                        0
       0.0280155211042208       0.0280183928833419       0.0560281368902001                        0     2.88245058819627e-06          350.87653871766         346.394216142351         541.178665506947         373.686543800258         382.389444311561         382.389444311561         375.864558338685         384.567458849987         384.567458849987         1144.99947603866         8.70290051130235        0.336564081908692         31.7411800981929                        0
       0.0287156591318264       0.0287186498709913       0.0574282946447669                        0     3.00121616610111e-06         350.455085184446         345.863788076146         540.975090946079         373.657991819369         382.478411924025         382.478411924025         375.890453577549         384.710873682205         384.710873682205         1145.31220094196         8.82042010465595         0.34543418270389         32.5429480222918                        0
