              rho_B[fm-3]              rho_u[fm-3]              rho_d[fm-3]              rho_s[fm-3]                cp_B[MeV]                cp_u[MeV]                cp_d[MeV]                cp_s[MeV]                 M_u[MeV]                 M_d[MeV]                 M_s[MeV]               P[MeVfm-3]               E[MeVfm-3]                  S[fm-3]
                   0.0001     0.000150013541019215     0.000150013540909531                        0         1104.80054752852         368.266849176174         368.266849176174         368.266849176174         367.579461650543         367.579461650878         549.448586537787     8.38855605584471e-05        0.110406142567859                        0
     0.000350018752344043     0.000525034198961063      0.00052503419892595                        0         1106.97333522691         368.991111742304         368.991111742304         368.991111742304         367.407749045708         367.407749045778         549.372184292953      0.00054366828029906        0.386922237262231                        0
     0.000600037504688086     0.000900056275889967     0.000900056275882249                        0          1108.5095774231         369.503192474367         369.503192474367         369.503192474367         367.236282407177          367.23628240719         549.295919068588      0.00126056544864182        0.663886769243762                        0
     0.000850056257032129      0.00127508438648594      0.00127508438648791                        0         1109.77040512879         369.923468376265         369.923468376265         369.923468376265         367.064997869313          367.06499786931         549.219762361211       0.0021704225971426        0.941196854845311                        0
      0.00110007500937617       0.0016501125141887      0.00165011251418785                        0         1110.86260078763         370.287533595876         370.287533595876         370.287533595876          366.89386215327         366.893862153271         549.143699302163      0.00323251268162798         1.21879967338731                        0
      0.00135009376172022      0.00202515691769246      0.00202515691786621                        0         1111.83658304874         370.612194349579         370.612194349579         370.612194349579         366.722853270905         366.722853270682         549.067720054543      0.00443738484064251         1.49665831355969                        0
      0.00160011251406426      0.00240017800210631      0.00240017800196278                        0         1112.72100970244         370.907003234146         370.907003234146         370.907003234146         366.551955698023         366.551955698198         548.991817681891       0.0057343825727073         1.77475127735375                        0
       0.0018501312664083      0.00277520263406695      0.00277520263402613                        0         1113.53441314096         371.178137713653         371.178137713653         371.178137713653         366.381156907558         366.381156907605         548.915986569743       0.0071333125609772          2.0530557784066                        0
      0.00210015001875234      0.00315022883143762      0.00315022883179245                        0         1114.28946855654          371.42982285218          371.42982285218          371.42982285218           366.2104470042         366.210447003806         548.840222287038       0.0086219165795235         2.33155595716026                        0
      0.00235016877109639      0.00352525580748652      0.00352525580786534                        0         1114.99537264209         371.665124214031         371.665124214031         371.665124214031         366.039817762255         366.039817761849         548.764521149689       0.0101907515706042         2.61023852372181                        0
      0.00260018752344043      0.00390028320593232       0.0039002832062156                        0         1115.65906428031         371.886354760102         371.886354760102         371.886354760102         365.869262199035         365.869262198741         548.688880029772        0.011832077136398         2.88909213094187                        0
      0.00285020627578447      0.00427531084972802      0.00427531084983216                        0          1116.2859411577         372.095313719235         372.095313719235         372.095313719235         365.698774277853         365.698774277748         548.613296223127       0.0135393160541402         3.16810694773815                        0
      0.00310022502812852      0.00465033864374606      0.00465033864372236                        0         1116.88030629028         372.293435430093         372.293435430093         372.293435430093         365.528348710669         365.528348710692         548.537767361077       0.0153067633035442         3.44727433587487                        0
      0.00335024378047256      0.00502536653399046      0.00502536653399086                        0         1117.44565973925         372.481886579749         372.481886579749         372.481886579749         365.357980809513         365.357980809512         548.462291344221       0.0171293904266841         3.72658662424479                        0
       0.0036002625328166      0.00540039448812683      0.00540039448826798                        0         1117.98489671903         372.661632239676         372.661632239676         372.661632239676         365.187666378492         365.187666378361         548.386866294106       0.0190027138176397         4.00603693560167                        0
      0.00385028128516065      0.00577542248631141      0.00577542248634905                        0         1118.50044652874         372.833482176248         372.833482176248         372.833482176248         365.017401631195         365.017401631161         548.311490516113       0.0209226984363578         4.28561905479933                        0
      0.00410030003750469      0.00615045051528407      0.00615045051533814                        0         1118.99437266505         372.998124221682         372.998124221682         372.998124221682         364.847183127088          364.84718312704         548.236162471127       0.0228856853490827          4.5653273253087                        0
      0.00435031878984873      0.00652547856657508      0.00652547856662511                        0         1119.46844666231         373.156148887437         373.156148887437         373.156148887437         364.677007719937         364.677007719893          548.16088075238       0.0248883345655445         4.84515656855355                        0
      0.00460033754219277      0.00690050663429417      0.00690050663421546                        0         1119.92420366115         373.308067887051         373.308067887051         373.308067887051         364.506872517097         364.506872517164         548.085644067228       0.0269275796724814         5.12510201847797                        0
      0.00485035629453682      0.00727553471417072      0.00727553471408125                        0         1120.36298497465         373.454328324883         373.454328324883         373.454328324883         364.336774846987         364.336774847063         548.010451222586       0.0290005928293644         5.40515926690772                        0
      0.00510037504688086      0.00765056280324788      0.00765056280336208                        0         1120.78597120086          373.59532373362          373.59532373362          373.59532373362         364.166712231234         364.166712231139         547.935301112428       0.0311047543997518         5.68532422009021                        0
       0.0053503937992249      0.00802559089973167       0.0080255908997186                        0         1121.19420834036         373.731402780121         373.731402780121         373.731402780121         363.996682361036         363.996682361047         547.860192707303       0.0332376270782893         5.96559306310862                        0
      0.00560041255156895      0.00840061900173471      0.00840061900177378                        0         1121.58862865764         373.862876219213         373.862876219213         373.862876219213         363.826683079558         363.826683079526         547.785125046191       0.0353969367792435         6.24596222725642                        0
      0.00585043130391299      0.00877564710816145       0.0087756471082601                        0         1121.97006752677         373.990022508922         373.990022508922         373.990022508922         363.656712365032         363.656712364954         547.710097229142       0.0375805552770549         6.52642836378145                        0
      0.00610045005625703      0.00915067521820764      0.00915067521821857                        0         1122.33927716896         374.113092389654         374.113092389654         374.113092389654         363.486768315966         363.486768315958         547.635108410595       0.0397864831033723         6.80698832357418                        0
      0.00635046880860107      0.00952570333110365       0.0095257033311037                        0         1122.69693796915         374.232312656384         374.232312656384         374.232312656384         363.316849140765         363.316849140765         547.560157794576        0.042012839285093         7.08763913527024                        0
      0.00660048756094512      0.00990073144627951      0.00990073144632357                        0         1123.04366786494         374.347889288314         374.347889288314         374.347889288314         363.146953146417         363.146953146383         547.485244629779       0.0442578488752186         7.36837798979108                        0
      0.00685050631328916       0.0102757595634067        0.010275759563438                        0         1123.38003020294         374.460010067648         374.460010067648         374.460010067648         362.977078729374          362.97707872935         547.410368205424       0.0465198330819393         7.64920222606227                        0
       0.0071005250656332       0.0106507876821311       0.0106507876821616                        0         1123.70654035937         374.568846786456         374.568846786456         374.568846786456         362.807224368345         362.807224368322         547.335527847969       0.0487972017963582         7.93010931714187                        0
      0.00735054381797725       0.0110258158021548       0.0110258158021552                        0         1124.02367135157          374.67455711719          374.67455711719          374.67455711719         362.637388616705         362.637388616705         547.260722917715       0.0510884450635871         8.21109685999276                        0
      0.00760056257032129       0.0114008439232829       0.0114008439232921                        0         1124.33185862882         374.777286209608         374.777286209608         374.777286209608         362.467570096922         362.467570096915         547.185952806338       0.0533921276794805          8.4921625644594                        0
      0.00785058132266533       0.0117758720453429       0.0117758720453431                        0          1124.6315041788         374.877168059598         374.877168059598         374.877168059598         362.297767494361         362.297767494361         547.111216934072       0.0557068818402798         8.77330424574043                        0
      0.00810060007500938       0.0121509001681661       0.0121509001682196                        0         1124.92298007327         374.974326691089         374.974326691089         374.974326691089         362.127979553113         362.127979553074         547.036514747793       0.0580314031752816         9.05451981534322                        0
      0.00835061882735342       0.0125259282917052       0.0125259282916791                        0         1125.20663153893         375.068877179642         375.068877179642         375.068877179642         361.958205071373         361.958205071392         546.961845719043       0.0603644458447945         9.33580727415072                        0
      0.00860063757969746       0.0129009564157944       0.0129009564157776                        0         1125.48277963072         375.160926543575         375.160926543575         375.160926543575         361.788442897452         361.788442897463         546.887209342085       0.0627048177645302         9.61716470672471                        0
      0.00885065633204151       0.0132759845403214       0.0132759845404604                        0         1125.75172357093         375.250574523645         375.250574523645         375.250574523645         361.618691926411         361.618691926314         546.812605132496       0.0650513774609983         9.89859027483595                        0
      0.00910067508438555       0.0136510126654116         0.01365101266538                        0         1126.01374280129         375.337914267096         375.337914267096         375.337914267096         361.448951096525         361.448951096547         546.738032625623       0.0674030302197722         10.1800822127076                        0
      0.00935069383672959       0.0140260407907471       0.0140260407908011                        0         1126.26909879255          375.42303293085          375.42303293085          375.42303293085         361.279219387037            361.279219387         546.663491375335       0.0697587252723227         10.4616388220967                        0
      0.00960071258907363       0.0144010689165137       0.0144010689164911                        0         1126.51803664453         375.506012214842         375.506012214842         375.506012214842         361.109495814884           361.1094958149         546.588980952844       0.0721174530081395         10.7432584679253                        0
      0.00985073134141768       0.0147760970425001       0.0147760970424856                        0         1126.76078650529         375.586928835098         375.586928835098         375.586928835098          360.93977943271          360.93977943272         546.514500945566       0.0744782420604168         11.0249395746588                        0
       0.0101007500937617       0.0151511251687402       0.0151511251687402                        0         1126.99756483582         375.665854945272         375.665854945272         375.665854945272          360.77006932643          360.77006932643         546.440050956169       0.0768401572433667         11.3066806225518                        0
       0.0103507688461058        0.015526153295206       0.0155261532952131                        0          1127.2285755388         375.742858512932         375.742858512932         375.742858512932         360.600364613477         360.600364613473         546.365630601715       0.0792022975265584         11.5884801441774                        0
       0.0106007875984498        0.015901181421841       0.0159011814218753                        0         1127.45401096837         375.818003656123         375.818003656123         375.818003656123         360.430664440546         360.430664440524         546.291239512675       0.0815637933490905         11.8703367221244                        0
       0.0108508063507938       0.0162762095486827       0.0162762095486892                        0         1127.67405283966         375.891350946553         375.891350946553         375.891350946553         360.260967982459         360.260967982454         546.216877332378       0.0839238059043326         12.1522489851852                        0
       0.0111008251031379        0.016651237675656       0.0166512376756627                        0         1127.88887304466         375.962957681554         375.962957681554         375.962957681554         360.091274440268         360.091274440264          546.14254371618       0.0862815246934196         12.4342156065046                        0
       0.0113508438554819       0.0170262658027491       0.0170262658028004                        0         1128.09863438995         376.032878129985         376.032878129985         376.032878129985         359.921583039749         359.921583039716         546.068238330774       0.0886361659926855         12.7162353012541                        0
        0.011600862607826       0.0174012939300134        0.017401293930001                        0         1128.30349126452         376.101163754842         376.101163754842         376.101163754842         359.751893030242          359.75189303025         545.993960853696       0.0909869717789713         12.9983068240528                        0
         0.01185088136017       0.0177763220573408       0.0177763220573589                        0         1128.50359024459         376.167863414864         376.167863414864         376.167863414864         359.582203683482          359.58220368347         545.919710972714        0.093333208245826         13.2804289671295                        0
       0.0121009001125141        0.018151350184775        0.018151350184793                        0          1128.6990706433         376.233023547765         376.233023547765         376.233023547765         359.412514292204         359.412514292193         545.845488385291        0.095674164469624         13.5626005585211                        0
       0.0123509188648581       0.0185263783122991       0.0185263783123168                        0          1128.8900650116           376.2966883372           376.2966883372           376.2966883372         359.242824169311           359.2428241693         545.771292798157       0.0980091514865933         13.8448204601208                        0
       0.0126009376172022       0.0189014064399408       0.0189014064398833                        0         1129.07669959461          376.35889986487          376.35889986487          376.35889986487         359.073132646645         359.073132646681         545.697123926776        0.100337500864107         14.1270875663842                        0
       0.0128509563695462       0.0192764345675979       0.0192764345675811                        0         1129.25909474981         376.419698249937         376.419698249937         376.419698249937         358.903439074427         358.903439074437          545.62298149503        0.102658564192235         14.4094008023397                        0
       0.0131009751218902       0.0196514626953225       0.0196514626953501                        0         1129.43736532883         376.479121776278         376.479121776278         376.479121776278         358.733742819997          358.73374281998         545.548865234757        0.104971711787794         14.6917591225306                        0
       0.0133509938742343       0.0200264908231067        0.020026490823145                        0         1129.61162102835         376.537207009451         376.537207009451         376.537207009451         358.564043267196         358.564043267173         545.474774885382        0.107276331870714         14.9741615096097                        0
       0.0136010126265783       0.0204015189509858        0.020401518950986                        0         1129.78196671265         376.593988904217         376.593988904217         376.593988904217         358.394339815628         358.394339815628         545.400710193618        0.109571829928255         15.2566069729858                        0
       0.0138510313789224       0.0207765470788976       0.0207765470788818                        0         1129.94850271009         376.649500903364         376.649500903364         376.649500903364         358.224631879974         358.224631879983         545.326670913133        0.111857627848934         15.5390945476689                        0
       0.0141010501312664        0.021151575206834       0.0211515752068032                        0         1130.11132508662         376.703775028872         376.703775028872         376.703775028872         358.054918889249         358.054918889268         545.252656804245        0.114133163235258         15.8216232931973                        0
       0.0143510688836105       0.0215266033347953       0.0215266033348053                        0         1130.27052589791         376.756841965969         376.756841965969         376.756841965969         357.885200286104         357.885200286098         545.178667633568        0.116397888491594         16.1041922928554                        0
       0.0146010876359545       0.0219016314628192       0.0219016314628245                        0         1130.42619342355         376.808731141183         376.808731141183         376.808731141183         357.715475526486         357.715475526483         545.104703173908        0.118651270751922         16.3868006521034                        0
       0.0148511063882985       0.0222766595909003       0.0222766595908557                        0         1130.57841238203         376.859470794011         376.859470794011         376.859470794011         357.545744078757         357.545744078783         545.030763203804        0.120892790536013         16.6694474984182                        0
       0.0151011251406426       0.0226516877189821       0.0226516877189288                        0         1130.72726413211         376.909088044037         376.909088044037         376.909088044037         357.376005423538         357.376005423569         544.956847507492        0.123121941903862         16.9521319797167                        0
       0.0153511438929866       0.0230267158470938       0.0230267158470654                        0         1130.87282685817         376.957608952722         376.957608952722         376.957608952722         357.206259052941         357.206259052957         544.882955874549        0.125338231509238         17.2348532639882                        0
       0.0156011626453307       0.0234017439752129       0.0234017439752034                        0         1131.01517574318          377.00505858106          377.00505858106          377.00505858106         357.036504470227         357.036504470233         544.809088099739        0.127541178222183         17.5176105383224                        0
