               rhoB[fm-3]   energyDensity[MeVfm-3]        pressure[MeVfm-3]       baryonChemPot[MeV]
        0.382484582916583         421.504439258529       0.0278792240888019         1102.08969524938
        0.382884660932186         421.945410109679        0.121660195171461          1102.3347559142
         0.38328473894779         422.386479145326        0.215809318744686          1102.5805216692
        0.383684816963393         422.827646646546        0.310324974704525         1102.82698681867
        0.384084894978996         423.268912892103        0.405205538037045         1103.07414567172
        0.384484972994599         423.710278158225        0.500449378854165         1103.32199254261
        0.384885051010202         424.151742719055        0.596054863118843          1103.5705217523
        0.385285129025805         424.593306846417        0.692020352084763          1103.8197276277
        0.385685207041408         425.034970810091        0.788344203545196         1104.06960450401
        0.386085285057011         425.476734877381        0.885024771513137         1104.32014672435
        0.386485363072614         425.918599313018        0.982060406384761         1104.57134864023
        0.386885441088218         426.360564380106         1.07944945586476         1104.82320461344
        0.387285519103821         426.802630339264         1.17719026458595         1105.07570901548
        0.387685597119424         427.244797448604         1.27528117443245         1105.32885622837
        0.388085675135027         427.687065964036         1.37372052534204         1105.58264064607
         0.38848575315063         428.129436139548         1.47250665485783         1105.83705667413
        0.388885831166233         428.571908226934          1.5716378991927         1106.09209873147
        0.389285909181836         429.014482475256         1.67111259232381         1106.34776124907
        0.389685987197439         429.457159131786         1.77092906743462         1106.60403867257
        0.390086065213043         429.899938441297          1.8710856564376         1106.86092546162
        0.390486143228646         430.342820646597         1.97158069043296         1107.11841609083
        0.390886221244249         430.785805988004         2.07241249979565         1107.37650505004
        0.391286299259852         431.228894704073          2.1735794148333         1107.63518684556
        0.391686377275455         431.672087030518          2.2750797654305         1107.89445599967
        0.392086455291058         432.115383201458         2.37691188174264         1108.15430705201
        0.392486533306661         432.558783448678         2.47907409425763         1108.41473455977
        0.392886611322264         433.002288001545         2.58156473377635         1108.67573309772
        0.393286689337868         433.445897087693          2.6843821321054         1108.93729725956
        0.393686767353471         433.889610931979         2.78752462170038         1109.19942165734
        0.394086845369074         434.333429757797         2.89099053650545          1109.4621009231
        0.394486923384677         434.777353785794         2.99477821160597         1109.72532970823
         0.39488700140028         435.221383234989         3.09888598371721         1109.98910268457
        0.395287079415883         435.665518321791         3.20331219138546         1110.25341454457
        0.395687157431486         436.109759261165         3.30805517512947         1110.51826000195
        0.396087235447089         436.554106265085         3.41311327745224         1110.78363379141
        0.396487313462693         436.998559543841         3.51848484317697         1111.04953066957
        0.396887391478296         437.443119306178         3.62416822003146         1111.31594541595
        0.397287469493899         437.887785757901         3.73016175793362         1111.58287283173
