         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]
                        0        0.367648251906752        0.367648251906748        0.549479201422997                        0                        0                        0                        0                        0                        0
                   0.0001        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312622631811e-11     1.40312622631811e-11                        0
     0.000350075037518759        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11                        0
     0.000600150075037519        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11    2.76639431965989e-269
     0.000850225112556278        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11    5.89075390803802e-191
      0.00110030015007504        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11    3.22768173958845e-148
       0.0013503751875938        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11    2.67726950018691e-121
      0.00160045022511256        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11    8.72652800898126e-103
      0.00185052526263132        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11      2.8525227891267e-89
      0.00210060030015007        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     5.69640384297398e-79
      0.00235067533766883        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     7.36791469059888e-71
      0.00260075037518759        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     2.63959653767874e-64
      0.00285082541270635        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     6.72771643969038e-59
      0.00310090045022511        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     2.31153027384181e-54
      0.00335097548774387        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     1.67634270664894e-50
      0.00360105052526263        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     3.54740464308856e-47
      0.00385112556278139        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     2.78403794114992e-44
      0.00410120060030015        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     9.71401204259328e-42
      0.00435127563781891        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11      1.7327216050592e-39
      0.00460135067533767        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     1.76252079611441e-37
      0.00485142571285643        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     1.11506591314763e-35
      0.00510150075037519        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     4.70464890071824e-34
      0.00535157578789395        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     1.40104851195093e-32
      0.00560165082541271        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11      3.0854588135305e-31
      0.00585172586293147        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     5.22288101761242e-30
      0.00610180090045022        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     7.01871677764743e-29
      0.00635187593796898        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     7.69462150202739e-28
      0.00660195097548774        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     7.04259986119949e-27
       0.0068520260130065        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     5.48864742072589e-26
      0.00710210105052526        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     3.70465965256792e-25
      0.00735217608804402        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     2.19758080166183e-24
      0.00760225112556278        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11      1.1603292381775e-23
      0.00785232616308154        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     5.51417206475683e-23
       0.0081024012006003        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11      2.3816064429711e-22
      0.00835247623811906        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -1.40312553242872e-11     1.40312553242872e-11     9.42914418481415e-22
