         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]     quarkDensityU[GeV^3]     quarkDensityD[GeV^3]     quarkDensityS[GeV^3]
                        0        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.11476408501699e-15     4.11476408501699e-15                        0                        0                        0                        0
     0.000250125062531266        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15                        0                        0                        0                        0
     0.000500250125062531        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15                        0                        0                        0                        0
     0.000750375187593797        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.11476408501699e-15     4.11476408501699e-15    5.66834448617677e-216                        0                        0                        0
      0.00100050025012506        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15    1.03002255561301e-162                        0                        0                        0
      0.00125062531265633        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15      9.546698457972e-131                        0                        0                        0
      0.00150075037518759        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.11476408501699e-15     4.11476408501699e-15    1.98980374279324e-109                        0                        0                        0
      0.00175087543771886        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15     3.40498953440405e-94                        0                        0                        0
      0.00200100050025012        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15      9.1460787570938e-83                        0                        0                        0
      0.00225112556278139        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.11476408501699e-15     4.11476408501699e-15      7.1415920011085e-74                        0                        0                        0
      0.00250125062531266        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15     9.34243414048173e-67                        0                        0                        0
      0.00275137568784392        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15     6.24230363572061e-61                        0                        0                        0
      0.00300150075037519        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.11476408501699e-15     4.11476408501699e-15     4.47948351124384e-56                        0                        0                        0
      0.00325162581290645        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15      5.7756281351084e-52                        0                        0                        0
      0.00350175087543772        0.367648250495419        0.367648250495419        0.549479201374377                        0                        0                        0    -4.10782519111308e-15     4.10782519111308e-15     1.93246255951088e-48                        0                        0                        0
