         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]
                        0        0.402731179354927        0.402731179354927        0.569096384476718                        0                        0                        0                        0                        0                        0
                   0.0001        0.402731181383957        0.402731181383957        0.569096385285579                        0                        0                        0     1.98325522671183e-11    -1.98325522671183e-11                        0
     0.000350075037518759        0.402731181383958        0.402731181383958         0.56909638528558                        0                        0                        0     1.98325626754592e-11    -1.98325626754592e-11                        0
     0.000600150075037519        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11    1.42278526178169e-294
     0.000850225112556278        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11    8.88162655729792e-209
      0.00110030015007504        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11    5.75494345188088e-162
       0.0013503751875938        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11    1.75045322551579e-132
      0.00160045022511256        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11    3.30536633667669e-112
      0.00185052526263132        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.08944516370484e-97
      0.00210060030015007        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.98574935516099e-86
      0.00235067533766883        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.04654234726423e-77
      0.00260075037518759        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     4.58308078139252e-70
      0.00285082541270635        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.81333264885078e-64
      0.00310090045022511        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.53398663328575e-59
      0.00335097548774387        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     5.96108142815504e-55
      0.00360105052526263        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.60940341513857e-51
      0.00385112556278139        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11      3.8544860036939e-48
      0.00410120060030015        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.34339121493948e-45
      0.00435127563781891        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     6.83283144574238e-43
      0.00460135067533767        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.07702040402926e-40
      0.00485142571285643        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.00922702544954e-38
      0.00510150075037519        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     6.06848525833364e-37
      0.00535157578789395        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.49162677322209e-35
      0.00560165082541271        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     7.35131890121966e-34
      0.00585172586293147        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.62595258331801e-32
      0.00610180090045022        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11      2.7930577717802e-31
      0.00635187593796898        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11      3.8391181534533e-30
      0.00660195097548774        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     4.33063553863304e-29
       0.0068520260130065        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11      4.0966247923192e-28
      0.00710210105052526        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.31069994196079e-27
      0.00735217608804402        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.32274051072484e-26
      0.00760225112556278        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.43456664570221e-25
      0.00785232616308154        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     7.89516921218848e-25
       0.0081024012006003        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.91338691326493e-24
      0.00835247623811906        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.76348046923435e-23
      0.00860255127563782        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     7.28479537136955e-23
      0.00885262631315658        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.77899970899461e-22
      0.00910270135067534        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     9.85436896244075e-22
       0.0093527763881941        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.26722507930595e-21
      0.00960285142571285        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.01815881407319e-20
      0.00985292646323161        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.99628875244209e-20
       0.0101030015007504        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     8.36231600625868e-20
       0.0103530765382691        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     2.22182300573899e-19
       0.0106031515757879        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     5.63949973166843e-19
       0.0108532266133067        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.37179538015442e-18
       0.0111033016508254        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.24198181779324e-18
       0.0113533766883442        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     7.36233825726337e-18
       0.0116034517258629        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.60323829451807e-17
       0.0118535267633817        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     3.39495817144273e-17
       0.0121036018009004        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     6.93514918824523e-17
       0.0123536768384192        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325487976714e-11    -1.98325487976714e-11     1.38087968281839e-16
        0.012603751875938        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325557365653e-11    -1.98325557365653e-11     2.67078921641977e-16
       0.0128538269134567        0.402731181383957        0.402731181383957         0.56909638528558                        0                        0                        0     1.98325557365653e-11    -1.98325557365653e-11     5.03799408587066e-16
       0.0131039019509755        0.402731181383956        0.402731181383956        0.569096385285579                        0                        0                        0     1.98325626754592e-11    -1.98325453282244e-11     9.27834683803723e-16
       0.0133539769884942        0.402731181383955        0.402731181383955        0.569096385285578                        0                        0                        0     1.98325626754592e-11    -1.98325418587775e-11     1.66989944032371e-15
        0.013604052026013        0.402731181383953        0.402731181383953        0.569096385285576                        0                        0                        0     1.98325487976714e-11    -1.98325141032019e-11     2.94162763887526e-15
       0.0138541270635318         0.40273118138395         0.40273118138395        0.569096385285574                        0                        0                        0     1.98325592060122e-11    -1.98324898170732e-11     5.07924830733351e-15
       0.0141042021010505        0.402731181383944        0.402731181383944         0.56909638528557                        0                        0                        0     1.98325592060122e-11    -1.98324377753689e-11     8.60376156404904e-15
       0.0143542771385693        0.402731181383935        0.402731181383935        0.569096385285564                        0                        0                        0     1.98325696143531e-11     -1.9832361447536e-11     1.43130666850991e-14
        0.014604352176088        0.402731181383921        0.402731181383921        0.569096385285554                        0                        0                        0     1.98325696143531e-11    -1.98322296085518e-11     2.34006189645819e-14
       0.0148544272136068        0.402731181383898        0.402731181383898        0.569096385285538                        0                        0                        0     1.98325696143531e-11    -1.98320145028408e-11     3.76425299630261e-14
       0.0151045022511256        0.402731181383862        0.402731181383862        0.569096385285513                        0                        0                        0     1.98325834921409e-11    -1.98316883748273e-11     5.96219668079009e-14
       0.0153545772886443        0.402731181383805        0.402731181383805        0.569096385285475                        0                        0                        0     1.98326112477165e-11    -1.98311818355723e-11     9.30461020712483e-14
       0.0156046523261631         0.40273118138372         0.40273118138372        0.569096385285416                        0                        0                        0     1.98326251255043e-11    -1.98303908016673e-11     1.43185865465918e-13
       0.0158547273636818        0.402731181383592        0.402731181383592        0.569096385285328                        0                        0                        0     1.98326736977616e-11    -1.98292250674914e-11      2.1741490008603e-13
       0.0161048024012006        0.402731181383403        0.402731181383403        0.569096385285197                        0                        0                        0     1.98327465561476e-11    -1.98275007523563e-11     3.25937402709198e-13
       0.0163548774387194        0.402731181383126        0.402731181383126        0.569096385285006                        0                        0                        0     1.98328367617684e-11    -1.98249437699527e-11     4.82717224197388e-13
       0.0166049524762381        0.402731181382725        0.402731181382725        0.569096385284729                        0                        0                        0     1.98329928868812e-11    -1.98212592172897e-11     7.06634443839952e-13
       0.0168550275137569         0.40273118138215         0.40273118138215        0.569096385284333                        0                        0                        0     1.98332045231453e-11    -1.98159613717941e-11     1.02299400839816e-12
       0.0171051025512756        0.402731181381337        0.402731181381337        0.569096385283771                        0                        0                        0     1.98335202428179e-11     -1.9808456958037e-11     1.46533589790726e-12
       0.0173551775887944        0.402731181380196        0.402731181380196        0.569096385282984                        0                        0                        0       1.983395045424e-11    -1.97978890226214e-11     2.07770261440124e-12
       0.0176052526263132        0.402731181378613        0.402731181378613        0.569096385281892                        0                        0                        0     1.98345680157974e-11    -1.97832132620146e-11     2.91744062671159e-12
       0.0178553276638319        0.402731181376435        0.402731181376435         0.56909638528039                        0                        0                        0     1.98354423164293e-11    -1.97629725084969e-11     4.05854048231075e-12
       0.0181054027013507        0.402731181373467        0.402731181373467        0.569096385278342                        0                        0                        0     1.98366358061808e-11    -1.97353210162898e-11     5.59571050925296e-12
       0.0183554777388694        0.402731181369455        0.402731181369455        0.569096385275574                        0                        0                        0     1.98382664462482e-11    -1.96978718058904e-11     7.64919890044823e-12
       0.0186055527763882        0.402731181364078        0.402731181364078        0.569096385271864                        0                        0                        0     1.98405146478731e-11    -1.96475682945341e-11     1.03705577566903e-11
        0.018855627813907        0.402731181356925        0.402731181356925        0.569096385266928                        0                        0                        0     1.98435469445091e-11    -1.95805212321876e-11     1.39494084144262e-11
       0.0191057028514257        0.402731181347483        0.402731181347483        0.569096385260413                        0                        0                        0     1.98475819113142e-11      -1.949181441252e-11     1.86214004485299e-11
       0.0193557778889445         0.40273118133511         0.40273118133511        0.569096385251877                        0                        0                        0     1.98529630235367e-11    -1.93753173227673e-11     2.46773907016499e-11
       0.0196058529264632         0.40273118131901         0.40273118131901        0.569096385240768                        0                        0                        0     1.98600753897882e-11    -1.92233971796352e-11     3.24741242768817e-11
