         temperature[GeV]            effMassU[GeV]            effMassD[GeV]            effMassS[GeV]            chemPotU[GeV]            chemPotD[GeV]            chemPotS[GeV]          pressure[GeV^4]     energyDensity[GeV^4]    entropyDensity[GeV^3]
                        0        0.402731181384421        0.402731181384421        0.569096385286011                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16                        0
     0.000250125062531266        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.87350135405495e-16     1.87350135405495e-16                        0
     0.000500250125062531        0.402731181384421        0.402731181384421        0.569096385286011                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16                        0
     0.000750375187593797        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.80411241501588e-16     1.80411241501588e-16    3.52543060500859e-236
      0.00100050025012506        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0    -2.08166817117217e-16     2.08166817117217e-16    7.63398339397696e-178
      0.00125062531265633        0.402731181384421        0.402731181384421        0.569096385286011                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16    7.85980532324892e-143
      0.00150075037518759        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.87350135405495e-16     1.87350135405495e-16    1.75701742012027e-119
      0.00175087543771886        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16     8.4790599631311e-103
      0.00200100050025012        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0     -2.0122792321331e-16      2.0122792321331e-16     2.78704998350314e-90
      0.00225112556278139        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.80411241501588e-16     1.80411241501588e-16      1.5263645282944e-80
      0.00250125062531266        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0    -2.08166817117217e-16     2.08166817117217e-16     9.48564609925158e-73
      0.00275137568784392        0.402731181384421        0.402731181384421        0.569096385286011                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16     2.26796137059501e-66
      0.00300150075037519        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.87350135405495e-16     1.87350135405495e-16     4.70878040343656e-61
      0.00325162581290645        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16     1.49166971871253e-56
      0.00350175087543772        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0     -2.0122792321331e-16      2.0122792321331e-16     1.07843683096858e-52
      0.00375187593796898        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.80411241501588e-16     1.80411241501588e-16     2.39068970130392e-49
      0.00400200100050025        0.402731181384421        0.402731181384421         0.56909638528601                        0                        0                        0    -2.08166817117217e-16     2.08166817117217e-16     2.02793793330528e-46
      0.00425212606303152        0.402731181384421        0.402731181384421        0.569096385286011                        0                        0                        0    -1.94289029309402e-16     1.94289029309402e-16     7.79756011194495e-44
      0.00450225112556278        0.402731181384422        0.402731181384422        0.569096385286011                        0                        0                        0    -1.87350135405495e-16     1.87350135405495e-16     1.55046572873919e-41
