                   T[GeV]                nU[GeV^3]                nD[GeV^3]                nS[GeV^3]             nUBar[GeV^3]             nDBar[GeV^3]            nSBbar[GeV^3]                W[GeV^-2]               effMU[GeV]               effMD[GeV]               effMS[GeV]              effCPU[GeV]              effCPD[GeV]              effCPS[GeV]
                     0.04     1.02440548428123e-06     1.02440548428123e-06     1.86704563164647e-08     6.90513240133468e-09     6.90513240133466e-09     1.25801091150582e-10         3.28546828772777        0.367595281424007        0.367595281424007        0.549455220900149                      0.1                      0.1                      0.1
                    0.041     1.25743414061245e-06     1.25743414061825e-06     2.55676834270179e-08     9.57586702994721e-09     9.57586702999137e-09     1.94618529275176e-10         3.30748457438681        0.367583392999445        0.367583392999224        0.549449781528673                      0.1                      0.1                      0.1
                    0.042     1.53016931180691e-06     1.53016931182452e-06     3.45283450937536e-08     1.30889987046396e-08     1.30889987047904e-08     2.95195685883668e-10         3.32869958988182        0.367569514549556        0.367569514548987        0.549443412774558                      0.1                      0.1                      0.1
                    0.043     1.84709411333049e-06     1.84709411332394e-06     4.60280125856401e-08     1.76517379364328e-08     1.76517379363702e-08     4.39594235214954e-10         3.34910376852827        0.367553427744118        0.367553427744298        0.549436007609344                      0.1                      0.1                      0.1
                    0.044       2.212919422165e-06     2.21291942216996e-06     6.06188499358666e-08     2.35078590561689e-08     2.35078590562216e-08     6.43497779152177e-10         3.36868632737759        0.367534903722203        0.367534903722086        0.549427452802888                      0.1                      0.1                      0.1
                    0.045     2.63257516956854e-06     2.63257516958917e-06     7.89361614090191e-08     3.09414503131232e-08     3.09414503133659e-08     9.27010809305976e-10         3.38743565227222        0.367513703775864        0.367513703775445         0.54941762911098                      0.1                      0.1                      0.1
                    0.046     3.11120132977201e-06     3.11120132979239e-06      1.0170480147644e-07     4.02806950870593e-08     4.02806950873234e-08     1.31556595257854e-09         3.40533965622771        0.367489579874414        0.367489579874054        0.549406411397106                      0.1                      0.1                      0.1
                    0.047     3.65413875755624e-06     3.65413875753643e-06     1.29745391971175e-07     5.19016550572912e-08     5.19016550570095e-08     1.84094239116989e-09         3.42238610128533        0.367462275171636        0.367462275171941        0.549393668760336                      0.1                      0.1                      0.1
                    0.048     4.26692000934268e-06     4.26692000935116e-06     1.63980297754448e-07     6.62320281951592e-08      6.6232028195291e-08     2.54239694380343e-09         3.43856289040704        0.367431524531337        0.367431524531223        0.549379264678737                      0.1                      0.1                      0.1
                    0.049     4.95526026611069e-06     4.95526026614638e-06     2.05439319282667e-07     8.37548568843156e-08     8.37548568849198e-08      3.4679078787742e-09         3.45385832567656        0.367397055047901        0.367397055047475         0.54936305716073                      0.1                      0.1                      0.1
                     0.05     5.72504845763547e-06     5.72504845750911e-06     2.55268174137898e-07      1.0501216414219e-07     1.05012164139869e-07     4.67558705921168e-09         3.46826133802409        0.367358586562686        0.367358586564024        0.549344898901129                      0.1                      0.1                      0.1
                    0.051      6.5823386698672e-06      6.5823386698672e-06     3.14720902665001e-07     1.30608498731357e-07     1.30608498731357e-07     6.23491698144404e-09         3.48176168960353        0.367315832182755        0.367315832182755        0.549324637453571                      0.1                      0.1                      0.1
                    0.052     7.53334190710144e-06     7.53334190710144e-06     3.85183510667003e-07     1.61214372947155e-07     1.61214372947155e-07     8.22865310878586e-09         3.49435011855531        0.367268498755343        0.367268498755343        0.549302115395067                      0.1                      0.1                      0.1
                    0.053     8.58441825444216e-06     8.58441825433082e-06     4.68164006356753e-07     1.97569579522117e-07     1.97569579519549e-07     1.07542771315436e-08         3.50601851998799        0.367216287376438        0.367216287377281        0.549277170513258                      0.1                      0.1                      0.1
                    0.054     9.74206948986375e-06     9.74206948944475e-06     5.65307278070857e-07     2.40486377190549e-07     2.40486377180179e-07     1.39257949953769e-08         3.51676002910587        0.367158893841815        0.367158893844674        0.549249635976983                      0.1                      0.1                      0.1
                    0.055     1.10129321699833e-05     1.10129321699329e-05     6.78385510142008e-07     2.90852536859177e-07     2.90852536857844e-07     1.78756881382868e-08         3.52656913021562        0.367096009095465        0.367096009095776        0.549219340529777                      0.1                      0.1                      0.1
                    0.056      1.2403771207474e-05     1.24037712075956e-05     8.09310659837444e-07     3.49634242848994e-07     3.49634242852431e-07     2.27566530677846e-08         3.53544171812749        0.367027319674516        0.367027319673835        0.549186108679407                      0.1                      0.1                      0.1
                    0.057     1.39214762864741e-05     1.39214762864741e-05     9.60134817931155e-07     4.17878916315872e-07     4.17878916315872e-07     2.87437493562862e-08         3.54336035976253        0.366952496232789        0.366952496232789         0.54914975596135                      0.1                      0.1                      0.1
                    0.058     1.55730478329889e-05     1.55730478329891e-05     1.13305232139386e-06     4.96717565304968e-07     4.96717565304975e-07     3.60364169290605e-08         3.55034006874141        0.366871239232297        0.366871239232296        0.549110107900233                      0.1                      0.1                      0.1
                    0.059      1.7365604186975e-05     1.73656041869748e-05     1.33040212734482e-06     5.87367590211469e-07     5.87367590211459e-07      4.4860605269655e-08         3.55638057249037        0.366783214319671        0.366783214319672         0.54906697328322                      0.1                      0.1                      0.1
                     0.06      1.9306369646949e-05     1.93063696469487e-05     1.55466926862841e-06     6.91134877194085e-07     6.91134877194077e-07     5.54709319290783e-08         3.56148369043755        0.366688094205238        0.366688094205239        0.549020161549505                      0.1                      0.1                      0.1
                    0.061     2.14026723361699e-05     2.14026723361696e-05      1.8084862608874e-06     8.09416015447068e-07     8.09416015447056e-07     6.81528859656388e-08         3.56565409877145         0.36658554901188        0.366585549011881        0.548969478851307                      0.1                      0.1                      0.1
                    0.062     2.36619407590012e-05     2.36619407590011e-05     2.09463415676249e-06     9.43700326440244e-07     9.43700326440238e-07     8.32250585903127e-08         3.56889963180127        0.366475246575471        0.366475246575472        0.548914728242282                      0.1                      0.1                      0.1
                    0.063     2.60917008104642e-05     2.60917008104641e-05     2.41604331985283e-06     1.09557176128018e-06     1.09557176128018e-06     1.01041394172074e-07         3.57121483463426        0.366356852723273        0.366356852723273        0.548855709863711                      0.1                      0.1                      0.1
                    0.064     2.86995732191129e-05     2.86995732191128e-05     2.77579394020401e-06     1.26671067275713e-06     1.26671067275713e-06     1.21993453635867e-07         3.57261681134582        0.366230031530452        0.366230031530452        0.548792221127862                      0.1                      0.1                      0.1
                    0.065     3.14932714019651e-05     3.14932714019651e-05     3.17711631345831e-06     1.45889546923626e-06     1.45889546923626e-06     1.46512682686237e-07         3.57312016152222         0.36609444555506        0.366094445555059        0.548724056898007                      0.1                      0.1                      0.1
                    0.066     3.44805997093339e-05     3.44805997093338e-05     3.62339090586287e-06     1.67400415798956e-06     1.67400415798956e-06     1.75072677747637e-07         3.57271903835126        0.365949756051824        0.365949756051824        0.548651009664597                      0.1                      0.1                      0.1
                    0.067     3.76694520369465e-05     3.76694520369466e-05     4.11814822712903e-06     1.91401578586336e-06     1.91401578586336e-06     2.08191443015286e-07         3.57143827416043        0.365795623165157        0.365795623165157        0.548572869717108                      0.1                      0.1                      0.1
                    0.068     4.10678107825639e-05     4.10678107825641e-05     4.66506853270466e-06     2.18101061068693e-06     2.18101061068694e-06     2.46433632545639e-07         3.56929032162647        0.365631706101916        0.365631706101916        0.548489425311179                      0.1                      0.1                      0.1
                    0.069     4.46837461245586e-05      4.4683746124559e-05      5.2679813764135e-06     2.47717584557851e-06     2.47717584557853e-06     2.90412771872644e-07         3.56627695600811        0.365457663284317        0.365457663284316        0.548400462830604                      0.1                      0.1                      0.1
                     0.07     4.85254156001796e-05     4.85254156001806e-05     5.93086503364301e-06     2.80480203668119e-06     2.80480203668124e-06     3.40793454203823e-07         3.56242088751594        0.365273152483729        0.365273152483727        0.548305766943911                      0.1                      0.1                      0.1
                    0.071     5.26010639620249e-05     5.26010639620237e-05     6.65784581439047e-06     3.16628203453807e-06       3.166282034538e-06     3.98293506821558e-07         3.55773468268764        0.365077830935654        0.365077830935656        0.548205120755143                      0.1                      0.1                      0.1
