            sqrt(s) [GeV]               sigma [mb]
       0.0603194438613301       0.0657912892130775
       0.0660771817105518       0.0568976505966957
       0.0718349195597736        0.055950974666813
       0.0775926574089953       0.0576192960632675
       0.0833503952582171       0.0609938831775788
       0.0891081331074388       0.0655937972933941
       0.0948658709566605       0.0711179921591118
        0.100623608805882       0.0773628713171603
        0.106381346655104       0.0841839716685128
        0.112139084504326       0.0914751652800133
        0.117896822353548       0.0991563224697044
        0.123654560202769        0.107165599464052
        0.129412298051991        0.115454258694887
        0.135170035901213        0.123983282628631
        0.140927773750435        0.132720956173323
        0.146685511599656        0.141641158381119
        0.152443249448878        0.150722122754304
          0.1582009872981         0.15994552192439
        0.163958725147322        0.169295781179794
        0.169716462996543        0.178759556188711
        0.175474200845765        0.188325330546434
        0.181231938694987         0.19798310175585
        0.186989676544209         0.20772410010949
         0.19274741439343        0.217540721064387
        0.198505152242652        0.227426176188262
        0.204262890091874        0.237374487252231
        0.210020627941095        0.247380350114022
        0.215778365790317        0.257439047111271
        0.221536103639539        0.267546374026258
        0.227293841488761         0.27769857877088
        0.233051579337982        0.287892309585016
        0.238809317187204         0.29812457096673
        0.244567055036426         0.30839268593998
        0.250324792885648        0.318694263584734
        0.256082530734869        0.329027170874019
        0.261840268584091        0.339389508086533
        0.267598006433313        0.349779588867398
        0.273355744282535        0.360195917469786
        0.279113482131756         0.37063717782794
        0.284871219980978        0.381102212713537
          0.2906289578302        0.391590017624709
        0.296386695679422        0.402099724073067
        0.302144433528643        0.412630588286479
        0.307902171377865        0.423181985686229
        0.313659909227087        0.433753401887446
        0.319417647076309        0.444344422689743
         0.32517538492553        0.454954729407724
        0.330933122774752        0.465584089338933
        0.336690860623974        0.476232354618478
        0.342448598473196        0.486899459394355
        0.348206336322417        0.497585397847079
        0.353964074171639         0.50829024511556
        0.359721812020861         0.51901413233889
        0.365479549870083        0.529757269403394
        0.371237287719304        0.540519862978773
        0.376995025568526        0.551302271634665
        0.382752763417748        0.562104847083087
         0.38851050126697        0.572927957728568
        0.394268239116191        0.583772092192869
        0.400025976965413        0.594637744883472
        0.405783714814635        0.605525430741251
        0.411541452663857        0.616435754972026
        0.417299190513078        0.627369309508962
          0.4230569283623        0.638326772310449
        0.428814666211522        0.649308796196574
        0.434572404060744        0.660316128989091
        0.440330141909965        0.671349513565535
        0.446087879759187        0.682409730144348
        0.451845617608409         0.69349759892004
        0.457603355457631        0.704613938220236
        0.463361093306852        0.715759627986662
        0.469118831156074        0.726935561684313
        0.474876569005296        0.738142650684467
        0.480634306854518        0.749381832931554
        0.486392044703739        0.760654079696194
        0.492149782552961        0.771960374022798
        0.497907520402183        0.783301721406676
        0.503665258251405        0.794679156844285
        0.509422996100626        0.806093720161477
        0.515180733949848        0.817546488497434
         0.52093847179907        0.829038548409688
        0.526696209648291        0.840571004551894
        0.532453947497513         0.85214497027786
        0.538211685346735        0.863761606102533
        0.543969423195957        0.875422056150326
        0.549727161045178        0.887127509549212
          0.5554848988944        0.898879134082802
        0.561242636743622        0.910678171253074
        0.567000374592844        0.922525793499627
        0.572758112442065        0.934423278965217
        0.578515850291287         0.94637187193657
        0.584273588140509        0.958372815421191
        0.590031325989731         0.97042741246465
        0.595789063838952        0.982536939549088
        0.601546801688174        0.994702710799995
        0.607304539537396         1.00692623433395
        0.613062277386618         1.01920845622511
        0.618820015235839         1.03155091045454
        0.624577753085061         1.04395495246833
        0.630335490934283         1.05642195338506
        0.636093228783505         1.06895327654164
        0.641850966632726         1.08155032676638
        0.647608704481948         1.09421449875958
         0.65336644233117         1.10694720426886
        0.659124180180392         1.11974986551719
        0.664881918029613         1.13262391460037
        0.670639655878835         1.14557079271693
        0.676397393728057         1.15859195358913
        0.682155131577279         1.17168885948135
          0.6879128694265         1.18486298157375
        0.693670607275722         1.19811580145491
        0.699428345124944         1.21144880936107
        0.705186082974166         1.22486350468221
        0.710943820823387         1.23836139590771
        0.716701558672609         1.25194400290898
        0.722459296521831         1.26561284065793
        0.728217034371053         1.27936945363185
        0.733974772220274         1.29321537974048
        0.739732510069496           1.307152168996
        0.745490247918718         1.32118137892587
        0.751247985767939         1.33530457402144
        0.757005723617161         1.34952332729702
        0.762763461466383         1.36383921822688
        0.768521199315605         1.37825383372855
        0.774278937164827         1.39276876774744
        0.780036675014048         1.40738561926098
         0.78579441286327         1.42210599655151
        0.791552150712492         1.43693151234291
        0.797309888561713         1.45186378590899
        0.803067626410935         1.46690444261971
        0.808825364260157         1.48205511369164
        0.814583102109379         1.49731743572748
          0.8203408399586         1.51269305671127
        0.826098577807822         1.52818360625644
        0.831856315657044         1.54379075413374
        0.837614053506266         1.55951615476354
        0.843371791355487         1.57536146150573
        0.849129529204709         1.59132834826906
        0.854887267053931         1.60741848285598
        0.860645004903153         1.62363353925624
        0.866402742752374         1.63997519515213
        0.872160480601596         1.65644513301721
        0.877918218450818         1.67304503647576
         0.88367595630004         1.68977659376596
        0.889433694149261         1.70664149510432
        0.895191431998483         1.72364143383891
        0.900949169847705         1.74077810529498
