            sqrt(s) [GeV]               sigma [mb]
       0.0603194438582137        0.171046552057256
       0.0660771817074511        0.202370341646518
       0.0718349195566885        0.242076472655334
       0.0775926574059259        0.288073477820766
       0.0833503952551633        0.340597629986815
       0.0891081331044007        0.400127758538034
       0.0948658709536381        0.467291750250346
        0.100623608802876        0.542849558155693
        0.106381346652113        0.627695543695469
         0.11213908450135        0.722870276484422
        0.117896822350588        0.829578126875895
        0.123654560199825         0.94921013862654
        0.129412298049063         1.08337217990978
          0.1351700358983         1.23391882568302
        0.140927773747537          1.4029936743381
        0.146685511596775         1.59307697186122
        0.152443249446012         1.80704152267903
         0.15820098729525         2.04821789042162
        0.163958725144487         2.32046978332876
        0.169716462993724          2.6282801880035
        0.175474200842962         2.97684811400729
        0.181231938692199         3.37219450708676
        0.186989676541437         3.82127362205934
        0.192747414390674         4.33208237856392
        0.198505152239911         4.91375417290503
        0.204262890089149         5.57661420150133
        0.210020627938386          6.3321591650761
        0.215778365787624         7.19290368463375
        0.221536103636861         8.17200758854418
        0.227293841486098          9.2825626508537
        0.233051579335336         10.5363786206967
        0.238809317184573         11.9420792443589
        0.244567055033811         13.5023273432164
        0.250324792883048         15.2100935791102
        0.256082530732285         17.0441368375534
        0.261840268581523         18.9643410407198
         0.26759800643076         20.9082420343766
        0.273355744279998         22.7907672304074
        0.279113482129235          24.509392664916
        0.284871219978473          25.955925425729
         0.29062895782771         27.0336541154835
        0.296386695676947         27.6755014383531
        0.302144433526185         27.8570408047093
        0.307902171375422         27.5995631763463
         0.31365990922466         26.9624812519544
        0.319417647073897         26.0286923661468
        0.325175384923134         24.8884695117846
        0.330933122772372         23.6264486575607
        0.336690860621609         22.3137545986942
        0.342448598470847         21.0050208460056
        0.348206336320084         19.7388739148253
        0.353964074169321          18.540282497147
        0.359721812018559         17.4235401304904
        0.365479549867796          16.395139539793
        0.371237287717034         15.4561945853857
        0.376995025566271         14.6043182811901
        0.382752763415508         13.8349959469611
        0.388510501264746         13.1425437386131
        0.394268239113983         12.5207507703348
        0.400025976963221         11.9632916268177
        0.405783714812458         11.4639785611321
        0.411541452661695         11.0169054526613
        0.417299190510933         10.6165211117762
         0.42305692836017         10.2576582691487
        0.428814666209408         9.93553625579557
        0.434572404058645         9.64574938605919
        0.440330141907882         9.38424881950282
         0.44608787975712         9.14732271417277
        0.451845617606357         8.93157742303408
        0.457603355455595          8.7339210614378
        0.463361093304832         8.55154980361333
        0.469118831154069         8.38193662819055
        0.474876569003307          8.2228218458207
        0.480634306852544         8.07220455156434
        0.486392044701782         7.92833410978057
        0.492149782551019         7.78970086496143
        0.497907520400257         7.65502544495938
        0.503665258249494         7.52324625000504
        0.509422996098731         7.39350496906613
        0.515180733947969         7.26513020452496
        0.520938471797206         7.13761949224907
        0.526696209646444         7.01062015950863
        0.532453947495681         6.88390955882787
        0.538211685344918         6.75737525104327
        0.543969423194156         6.63099569157045
        0.549727161043393         6.50482191135729
        0.555484898892631         6.37896059164155
        0.561242636741868          6.2535588235626
        0.567000374591105         6.12879073232712
        0.572758112440343          6.0048460411912
         0.57851585028958         5.88192055986134
        0.584273588138818         5.76020850916885
        0.590031325988055          5.6398965402723
        0.595789063837292         5.52115927157248
         0.60154680168653         5.40415614790004
        0.607304539535767         5.28902942152515
