            sqrt(s) [GeV]               sigma [mb]
        0.756104347350096         3.85412188916478
        0.758367649899526         3.53050316254842
        0.760630952448957         3.40662696588227
        0.762894254998387         3.31550780556202
        0.765157557547817         3.24130659223749
        0.767420860097248         3.17790263062505
        0.769684162646678         3.12216264222319
        0.771947465196108         3.07222779773529
        0.774210767745538         3.02688856309514
        0.776474070294969         2.98530552010378
        0.778737372844399         2.94686794262474
        0.781000675393829         2.91111504321724
         0.78326397794326         2.87768910599621
         0.78552728049269         2.84630541593223
         0.78779058304212         2.81673347338325
         0.79005388559155         2.78878323766799
        0.792317188140981         2.76229588854471
        0.794580490690411         2.73713707562973
        0.796843793239841         2.71319193670586
        0.799107095789272         2.69036134898174
        0.801370398338702         2.66855905995773
        0.803633700888132         2.64770945809249
        0.805897003437562         2.62774581709977
        0.808160305986993          2.6086088960976
        0.810423608536423         2.59024581168749
        0.812686911085853         2.57260911977981
        0.814950213635284         2.55565606160875
        0.817213516184714         2.53934793828365
        0.819476818734144         2.52364959075494
        0.821740121283575         2.50852896076237
        0.824003423833005         2.49395672075428
        0.826266726382435         2.47990595789868
        0.828530028931865         2.46635190493158
        0.830793331481296         2.45327170708665
        0.833056634030726         2.44064422188474
        0.835319936580156         2.42844984433794
        0.837583239129587         2.41667042088828
        0.839846541679017         2.40528885386246
        0.842109844228447         2.39428937616798
        0.844373146777877          2.3836571881131
        0.846636449327308         2.37337842918341
        0.848899751876738         2.36344009867017
        0.851163054426168         2.35382998182824
        0.853426356975599         2.34453658584563
        0.855689659525029         2.33554908135102
        0.857952962074459         2.32685725075199
         0.86021626462389         2.31845144104871
         0.86247956717332         2.31032252128645
         0.86474286972275         2.30246184444428
         0.86700617227218         2.29486121237646
        0.869269474821611         2.28751284442003
        0.871532777371041         2.28040934841125
        0.873796079920471         2.27354369459753
        0.876059382469902         2.26690919131799
        0.878322685019332         2.26049946332948
        0.880585987568762         2.25430843085638
        0.882849290118192         2.24833029277035
        0.885112592667623         2.24255950680331
        0.887375895217053         2.23699077700344
        0.889639197766483         2.23161903582788
        0.891902500315914         2.22643943415194
        0.894165802865344         2.22144732557088
        0.896429105414774         2.21663825719953
        0.898692407964204         2.21200795832275
        0.900955710513635         2.20755232962932
        0.903219013063065         2.20326743524223
        0.905482315612495         2.19914949307095
        0.907745618161926         2.19519486732577
        0.910008920711356         2.19140006096527
        0.912272223260786         2.18776170844696
        0.914535525810217         2.18427656927463
        0.916798828359647         2.18094152195729
        0.919062130909077         2.17775355817372
        0.921325433458507         2.17470977729672
        0.923588736007938         2.17180738133186
        0.925852038557368         2.16904367048124
        0.928115341106798         2.16641603795973
        0.930378643656229         2.16392196644448
        0.932641946205659         2.16155902358438
        0.934905248755089         2.15932485913606
        0.937168551304519         2.15721719975785
         0.93943185385395         2.15523384730129
         0.94169515640338         2.15337267511975
         0.94395845895281         2.15163162456962
        0.946221761502241         2.15000870271306
        0.948485064051671         2.14850197953634
        0.950748366601101         2.14710958560901
        0.953011669150531         2.14582970884063
        0.955274971699962         2.14466059320102
        0.957538274249392         2.14360053622291
        0.959801576798822         2.14264788635297
        0.962064879348253          2.1418010418785
        0.964328181897683          2.1410584484683
        0.966591484447113         2.14041859769939
        0.968854786996544          2.1398800250202
        0.971118089545974         2.13944130854712
        0.973381392095404         2.13910106718319
        0.975644694644834         2.13885795943607
        0.977907997194265         2.13871076499299
        0.980171299743695         2.13865805059895
        0.982434602293125         2.13869866803047
        0.984697904842556         2.13883142028494
        0.986961207391986         2.13905514315047
        0.989224509941416         2.13936870442748
        0.991487812490846         2.13977100299167
        0.993751115040277         2.14026096723856
        0.996014417589707         2.14083755450998
        0.998277720139137          2.1414997502121
         1.00054102268857         2.14224656669109
           1.002804325238         2.14307704230341
         1.00506762778743         2.14399024077546
         1.00733093033686         2.14498525056162
         1.00959423288629         2.14606118368913
         1.01185753543572         2.14721717511422
         1.01412083798515         2.14845238226761
         1.01638414053458         2.14976598416527
         1.01864744308401         2.15115718094585
         1.02091074563344         2.15262519278793
         1.02317404818287         2.15416925987063
          1.0254373507323         2.15578855750748
         1.02770065328173         2.15748253146967
         1.02996395583116         2.15925039388656
         1.03222725838059         2.16109145810197
         1.03449056093002         2.16300505472722
         1.03675386347945         2.16499053086836
         1.03901716602888          2.1670472494523
         1.04128046857831         2.16917459021828
         1.04354377112774         2.17137194638046
         1.04580707367717          2.1736387270707
          1.0480703762266         2.17597435557268
         1.05033367877603         2.17837826912208
         1.05259698132546         2.18084991858062
         1.05486028387489         2.18338876824493
         1.05712358642432         2.18599429499315
         1.05938688897376          2.1886659884907
         1.06165019152319         2.19140335058326
         1.06391349407262         2.19420589504254
         1.06617679662205         2.19707314717645
         1.06844009917148         2.20000464381089
         1.07070340172091         2.20299993249401
         1.07296670427034          2.2060585716907
         1.07523000681977         2.20918013030685
          1.0774933093692         2.21236418742492
         1.07975661191863         2.21561033205862
         1.08201991446806         2.21891816307452
         1.08428321701749         2.22228728859245
         1.08654651956692         2.22571732602328
         1.08880982211635         2.22920790184796
         1.09107312466578         2.23275865128095
         1.09333642721521         2.23636921805792
         1.09559972976464         2.24003925473757
         1.09786303231407          2.2437684207724
          1.1001263348635         2.24755638523005
         1.10238963741293         2.25140282395447
         1.10465293996236         2.25530742060356
         1.10691624251179         2.25926986630777
         1.10917954506122         2.26328985944268
         1.11144284761065         2.26736710542998
         1.11370615016008         2.27150131652154
         1.11596945270951         2.27569221190368
         1.11823275525894         2.27993951725556
         1.12049605780837         2.28424296478701
          1.1227593603578         2.28860229292682
         1.12502266290723         2.29301724628571
         1.12728596545666         2.29748757551357
         1.12954926800609         2.30201303714767
         1.13181257055552         2.30659339352936
         1.13407587310495         2.31122841252008
         1.13633917565439         2.31591786759222
         1.13860247820382         2.32066153754439
         1.14086578075325         2.32545920644142
         1.14312908330268         2.33031066352174
         1.14539238585211         2.33521570314883
         1.14765568840154          2.3401741241752
         1.14991899095097         2.34518573092683
          1.1521822935004         2.35025033202795
         1.15444559604983          2.3553677408133
         1.15670889859926         2.36053777508623
         1.15897220114869         2.36576025713906
         1.16123550369812         2.37103501357838
         1.16349880624755         2.37636187515326
         1.16576210879698         2.38174067682542
         1.16802541134641         2.38717125760936
         1.17028871389584         2.39265346049382
         1.17255201644527         2.39818713225761
          1.1748153189947         2.40377212355576
         1.17707862154413         2.40940828877781
         1.17934192409356         2.41509548589498
         1.18160522664299         2.42083357648715
         1.18386852919242         2.42662242557029
         1.18613183174185         2.43246190159516
         1.18839513429128         2.43835187637594
         1.19065843684071         2.44429222499026
         1.19292173939014          2.4502828257499
         1.19518504193957         2.45632356001335
           1.197448344489           2.462414312284
         1.19971164703843         2.46855497003751
         1.20197494958786         2.47474542369405
         1.20423825213729         2.48098556662742
         1.20650155468672         2.48727529491665
