            sqrt(s) [GeV]               sigma [mb]
         0.49436328157883      4.0832507316029e-05
        0.497933171114148       0.0245581569649268
        0.501503060649467       0.0351558276375738
        0.505072950184786       0.0435807080083888
        0.508642839720105       0.0509307636795149
        0.512212729255424        0.057625865106554
        0.515782618790743       0.0638787750608825
        0.519352508326062       0.0698144317697532
        0.522922397861381       0.0755133327152583
        0.526492287396699         0.08103078691598
        0.530062176932018       0.0864066420845784
        0.533632066467337       0.0916706732040254
        0.537201956002656       0.0968457845643574
        0.540771845537975        0.101950016675854
        0.544341735073294        0.106997862463197
        0.547911624608613         0.11200115968738
        0.551481514143932        0.116969717334881
         0.55505140367925          0.1219117653092
        0.558621293214569        0.126834283344363
        0.562191182749888        0.131743249346455
        0.565761072285207        0.136643826939973
        0.569330961820526        0.141540511437193
        0.572900851355845        0.146437243753534
        0.576470740891164        0.151337500800603
        0.580040630426482        0.156244368179428
        0.583610519961801        0.161160599216088
         0.58718040949712        0.166088662562864
        0.590750299032439        0.171030782215889
        0.594320188567758        0.175988969936186
        0.597890078103077        0.180965053226272
        0.601459967638396         0.18596069830155
        0.605029857173714        0.190977429860433
        0.608599746709033        0.196016647672474
        0.612169636244352        0.201079641110278
        0.615739525779671        0.206167601831646
         0.61930941531499        0.211281633678985
        0.622879304850309        0.216422762741449
        0.626449194385628        0.221591945296352
        0.630019083920947        0.226790075160801
        0.633588973456265        0.232017989522553
        0.637158862991584        0.237276475274395
        0.640728752526903        0.242566272986689
        0.644298642062222        0.247888082490745
        0.647868531597541        0.253242565830599
         0.65143842113286        0.258630351195792
        0.655008310668179        0.264052036226477
        0.658578200203498        0.269508190358481
        0.662148089738816        0.274999357645629
        0.665717979274135        0.280526059085551
        0.669287868809454        0.286088794440944
        0.672857758344773        0.291688044439473
        0.676427647880092        0.297324271777964
        0.679997537415411        0.302997923252441
         0.68356742695073        0.308709430693837
        0.687137316486049        0.314459212260454
        0.690707206021367        0.320247673558555
        0.694277095556686        0.326075208421404
        0.697846985092005        0.331942200025117
        0.701416874627324        0.337849021291943
        0.704986764162643        0.343796035988128
        0.708556653697962         0.34978359939711
        0.712126543233281        0.355812058104842
          0.7156964327686        0.361881751507106
        0.719266322303918         0.36799301189925
        0.722836211839237        0.374146164321944
        0.726406101374556        0.380341528389699
        0.729975990909875        0.386579417160225
        0.733545880445194        0.392860138392184
        0.737115769980513        0.399183994382995
        0.740685659515832        0.405551282642561
         0.74425554905115        0.411962296011474
        0.747825438586469        0.418417322952726
        0.751395328121788        0.424916647737966
        0.754965217657107        0.431460550870007
        0.758535107192426        0.438049309227207
        0.762104996727745        0.444683196233441
        0.765674886263064        0.451362482058683
        0.769244775798382        0.458087434054963
        0.772814665333701        0.464858316715449
         0.77638455486902        0.471675392025004
        0.779954444404339        0.478538919346986
        0.783524333939658        0.485449156121159
        0.787094223474977        0.492406357561634
        0.790664113010296        0.499410776895077
        0.794234002545615        0.506462665755338
        0.797803892080933        0.513562274167033
        0.801373781616252        0.520709850601835
        0.804943671151571        0.527905642400029
         0.80851356068689        0.535149895491694
        0.812083450222209        0.542442854975906
        0.815653339757528        0.549784764896583
        0.819223229292847        0.557175868542225
        0.822793118828166         0.56461640852151
        0.826363008363484        0.572106626912126
        0.829932897898803        0.579646765302204
        0.833502787434122        0.587237064982922
        0.837072676969441        0.594877767062467
         0.84064256650476        0.602569112321275
        0.844212456040079         0.61031134188307
        0.847782345575398        0.618104696679768
        0.851352235110717        0.625949418142503
        0.854922124646035        0.633845747782242
        0.858492014181354         0.64179392763669
        0.862061903716673        0.649794200250337
        0.865631793251992        0.657846808728364
        0.869201682787311        0.665951997036762
         0.87277157232263        0.674110009865254
        0.876341461857949        0.682321092840356
        0.879911351393267        0.690585492611741
        0.883481240928586        0.698903456982624
        0.887051130463905        0.707275234811205
        0.890621019999224        0.715701076479059
        0.894190909534543        0.724181233488643
        0.897760799069862        0.732715958984298
        0.901330688605181        0.741305507562417
          0.9049005781405         0.74995013556836
        0.908470467675818        0.758650100913062
        0.912040357211137        0.767405663382947
        0.915610246746456        0.776217084752375
