                   T[GeV]                  tauU[fm]                  tauD[fm]                  tauS[fm]               tauUBar[fm]               tauDBar[fm]               tauSBar[fm]                effMU[GeV]                effMD[GeV]                effMS[GeV]               effCPU[GeV]               effCPD[GeV]               effCPS[GeV]
        0.150000000000000         8.793653744081160         8.793653744081158        11.212069451871979         8.793653744081160         8.793653744081160        11.212069451871981         0.303279809165436         0.303279809165436         0.512749442947671         0.000000000000000         0.000000000000000         0.000000000000000
        0.151587301587302         8.313904169266785         8.313904169266785        10.637414967600126         8.313904169266785         8.313904169266785        10.637414967600126         0.300153892835447         0.300153892835447         0.510985803201190         0.000000000000000         0.000000000000000         0.000000000000000
        0.153174603174603         7.864515202061976         7.864515202061976        10.097991118680474         7.864515202061976         7.864515202061975        10.097991118680474         0.296913007464214         0.296913007464214         0.509165389904507         0.000000000000000         0.000000000000000         0.000000000000000
        0.154761904761905         7.443113790299135         7.443113790299135         9.591004227014869         7.443113790299134         7.443113790299134         9.591004227014867         0.293553279230119         0.293553279230120         0.507287302653403         0.000000000000000         0.000000000000000         0.000000000000000
        0.156349206349206         7.047570197341415         7.047570197341401         9.114169168871435         7.047570197341415         7.047570197341402         9.114169168871436         0.290070639174025         0.290070639174024         0.505350664993045         0.000000000000000         0.000000000000000         0.000000000000000
        0.157936507936508         6.675929843303029         6.675929843303064         8.665190442219178         6.675929843303029         6.675929843303064         8.665190442219181         0.286460814138746         0.286460814138753         0.503354632418546         0.000000000000000         0.000000000000000         0.000000000000000
        0.159523809523810         6.326364252092747         6.326364252092736         8.242136333298056         6.326364252092747         6.326364252092735         8.242136333298056         0.282719318524467         0.282719318524465         0.501298402185285         0.000000000000000         0.000000000000000         0.000000000000000
        0.161111111111111         5.997264287321983         5.997264287321983         7.843083627679457         5.997264287321983         5.997264287321983         7.843083627679457         0.278841447647604         0.278841447647605         0.499181225351178         0.000000000000000         0.000000000000000         0.000000000000000
        0.162698412698413         5.687103514965578         5.687103514965596         7.466402905194412         5.687103514965578         5.687103514965595         7.466402905194413         0.274822273533593         0.274822273533596         0.497002421531735         0.000000000000000         0.000000000000000         0.000000000000000
        0.164285714285714         5.394498773565193         5.394498773565170         7.110535782936516         5.394498773565193         5.394498773565169         7.110535782936516         0.270656644266989         0.270656644266984         0.494761396954189         0.000000000000000         0.000000000000000         0.000000000000000
        0.165873015873016         5.118105436676847         5.118105436676855         6.774076640291749         5.118105436676847         5.118105436676855         6.774076640291749         0.266339188413170         0.266339188413173         0.492457666524489         0.000000000000000         0.000000000000000         0.000000000000000
        0.167460317460317         4.856786229220044         4.856786229220058         6.455688021638958         4.856786229220043         4.856786229220058         6.455688021638959         0.261864326545143         0.261864326545148         0.490090880774089         0.000000000000000         0.000000000000000         0.000000000000000
        0.169047619047619         4.609351604236622         4.609351604236627         6.154223829323421         4.609351604236622         4.609351604236629         6.154223829323420         0.257226292596211         0.257226292596213         0.487660858735284         0.000000000000000         0.000000000000000         0.000000000000000
        0.170634920634921         4.374815211093966         4.374815211093983         5.868577329364504         4.374815211093967         4.374815211093982         5.868577329364504         0.252419168663409         0.252419168663415         0.485167628005159         0.000000000000000         0.000000000000000         0.000000000000000
        0.172222222222222         4.151611869594621         4.151611869594681         5.597756404281075         4.151611869594622         4.151611869594682         5.597756404281076         0.247436938076416         0.247436938076440         0.482611473498599         0.000000000000000         0.000000000000000         0.000000000000000
        0.173809523809524         3.938880205876399         3.938880205876354         5.340799049225088         3.938880205876399         3.938880205876354         5.340799049225087         0.242273563085868         0.242273563085849         0.479992996650928         0.000000000000000         0.000000000000000         0.000000000000000
        0.175396825396825         3.736401395074141         3.736401395074129         5.096926222750104         3.736401395074141         3.736401395074129         5.096926222750104         0.236923095502592         0.236923095502587         0.477313187092429         0.000000000000000         0.000000000000000         0.000000000000000
        0.176984126984127         3.541887312525165         3.541887312525226         4.865300515220843         3.541887312525165         3.541887312525225         4.865300515220845         0.231379831109970         0.231379831109999         0.474573509042077         0.000000000000000         0.000000000000000         0.000000000000000
        0.178571428571429         3.353226652075832         3.353226652075769         4.645266132668787         3.353226652075831         3.353226652075769         4.645266132668786         0.225638521708639         0.225638521708606         0.471776004784816         0.000000000000000         0.000000000000000         0.000000000000000
        0.180158730158730         3.168863175728284         3.168863175728239         4.436072960135456         3.168863175728283         3.168863175728239         4.436072960135456         0.219694662211989         0.219694662211961         0.468923417485967         0.000000000000000         0.000000000000000         0.000000000000000
        0.181746031746032         3.003735732880692         3.003735732880640         4.237341712264129         3.003735732880693         3.003735732880640         4.237341712264129         0.213544874052678         0.213544874052645         0.466019335057442         0.000000000000000         0.000000000000000         0.000000000000000
        0.183333333333333         2.856614508590495         2.856614508590405         4.048364581460712         2.856614508590495         2.856614508590405         4.048364581460712         0.207187409731164         0.207187409731102         0.463068355513453         0.000000000000000         0.000000000000000         0.000000000000000
        0.184920634920635         2.721665560156096         2.721665560156317         3.868715342879344         2.721665560156096         2.721665560156317         3.868715342879344         0.200622805421962         0.200622805422131         0.460076271772716         0.000000000000000         0.000000000000000         0.000000000000000
        0.186507936507937         2.596780077565004         2.596780077564907         3.698009905114497         2.596780077565005         2.596780077564907         3.698009905114497         0.193854707040731         0.193854707040650         0.457050269560711         0.000000000000000         0.000000000000000         0.000000000000000
